제목,가수,가사
"business boy (Feat. 김농밀, BLOO)",허성현 (Huh),"바닥에서 we go up here
ㅈㄴ 잘해 근데 No pills
지갑 부풀어 like pumping
다른 차이들을 자꾸 어필
걔네 데려다 놔봐라 여기에
근데 한마디만 해도 역해
차이를 맞춰봐 something
짊어진 게 달라 hit you up like I’m a
bad guys 때려잡는 batman
재미로다 나는 매일 해
쩌면 나는 쪼끔 색맹
맘에 들고 안 들고 만 흑백색을 대입해
Oh man 내가 대체 여기 왜 있냬
뭐래 도리도리 잼잼
그런 소리 하면 내게 맴매
돈 안 되는 얘긴 내일 해
또 투덜대기나 해 애인같이
Talk about 미래 weclass 쌤
가르치면 네가 배워야지
Can I go to your 애인의 house
아니 쩌면 그녀 매일 밤
자기 전에 듣는 playlist 안에
내 노래가 자꾸 껴있잖아
이제 들이받아 like I’m psycho
받은 만큼 배로 갚아
총은 없는데도 탄창은 많아
다 갖다고 와 이제 war ready
Can I go to your 애인의 house
아니 쩌면 그녀 매일 밤
자기 전에 듣는 playlist 안에
내 노래가 자꾸 껴있네 ha
하는 게 좋을 걸 각오
갖고 와 어서 판돈
미래를 그렸어 마치 반 고흐
내건 pop 네 건 퇴보
두 손 두 발 마치 태보
손꼽아 기대해라 새 앨범
Umm yeah Cash 아님 전화 no way
사심으론 안 통해
Bitch I came long long way
Umm yeah 수식어가 부족해
이름 앞에 붙일 땐
King 아님 Boss better know hey
Umm yeah Cash 아님 전화 no way
사심으론 안 통해
Bitch I came long long way
Umm yeah 수식어가 부족해
이름 앞에 붙일 땐
King 아님 Boss better know hey
바다에서 갓 잡아 올린 try to my taste
뭍에 기어올라 바라보니
dirty and I’m fresh
길어져라 나의 여의봉 목적지는 저 위
Pull up trigger 장전 발사
Badman no I’m bad boy
될 놈은 꼭 된다
그런 플로우 쌔고 쌨다 임마
고마해라 마 대따
농카콜라 할 말은 꼭 한다
계속한다면 네 미래 모르겠다
돈 안 줄 거면 그만 내일 해
또 투정부려 넌 왜 애같이
Talk about your 어머니
진로 다시 상담해봐
돈 안 줄 거면 그만 내일 해
자꾸 투정부려 넌 왜 애같이
Talk about your 엄마아빠
건물 없으면 제발 닥쳐
난 존나 이기주의
난 내 삶의 주인
남과 다른 DNA 원해 일부다처제
내 신념 안하무인
이유를 도대체 알아 뭐해
난 놈 위에 노는 놈 위에 미친 김농밀
하는 게 좋을 걸 각오
갖고 와 어서 판돈
미래를 그렸어 마치 반 고흐
내건 pop 네 건 퇴보
두 손 두 발 마치 태보
손꼽아 기대해라 새 앨범
Umm yeah Cash 아님 전화 no way
사심으론 안 통해
Bitch I came long long way
Umm yeah 수식어가 부족해
이름 앞에 붙일 땐
King 아님 Boss better know hey
Umm yeah Cash 아님 전화 no way
사심으론 안 통해
Bitch I came long long way
Umm yeah 수식어가 부족해
이름 앞에 붙일 땐
King 아님 Boss better know hey
바닥에서 I'm up here
나는 할 필요가 없지 어필
너네 오빠들의 억지
스러운 flex 너무나 귀엽지
Let me give you little something
돈을 많이 버는 법칙
십일조 pay 밤을 새며
New album을 난 섭취
천재는 노력 없어 모든 게 다 타고나
매일 유명해져 가니 이거 참 피곤하구나
빚만 쌓여가는 래퍼들 아 참 딱 하구나
Young and rich and pretty
아 그거 나구나
Your 애인 is mine and
my 애인 is all mine
Hate 오월 세금 폭탄에 놀래지 마
욕심이 많은 성격 but 겸손하지 난
유리멘탈에 장착해 superstar mind
Your 애인 is mine and
my 애인 is all mine
Hate 오월 세금 폭탄에 놀래지 마
욕심이 많은 성격 but 겸손하지 난
성현아 형 끝냈다 보채지 마"
"uh-uh (Feat. Kid Milli, 개코)",허성현 (Huh),"제시했네 원가를 근데도
you cannot pay me uh-uh
Ay 3년이 날 이리 바꿨고
다른 놈 다른 곳 uh-uh
Don’t tryna uh-uh
you cannot uh-uh
제시했네 원가를 근데도
you cannot pay me uh-uh
제시했네 원가를 근데도
you cannot pay me uh-uh
Ay 3년이 날 이리 바꿨고
다른 놈 다른 곳 uh-uh
Don’t tryna uh-uh
you cannot uh-uh
제시했네 원가를 근데도
you cannot pay me uh-uh
돈 얘기 안 끝났어
파일 안 받아 아님 씹거나 ay
내 시간 빛이나
3000의 손목은
너무 무거우니까
But you never know my 번호
깔끔히 정리해 주소록과
같이 버렸지 지워 너의 기억
내 카톡은 알 걸 내 가식 가득한
내 시꺼먼 방에는 없지 뒷말
괜히 새나갈 걱정을 해
Bish you can’t come to ma block
맨 처음과는 달라진 태도 It's okay
Now go back to
없어서 굶을 때아니면
세탁기 없어서 빨래 못 돌린 거
3년은 바꿨어 어린 꼬맹이를
바쁜 서울에서 살아남기만을
바랐고 이뤘지 덤벼 안 무서
보여줬고 얻어 정당한 수수료
갈았고 해냈지 1년 안 짧어
폭주기관차 like 다이나믹 듀오
차피 못 주더라 페이를 uh
긍까 못 움직여 내 이름
크레딧 넣고 싶음 제일로
비싼 걸 갖고 와 내 시계
바꿔 새 이름
내 이쁜이들로 방을 꽉 채워
초록색 아저씨 노란색 네모
언제쯤 철들래 대체 메모해
뛰어봤자 rosy got no manner
내 이쁜이들로 방을 꽉 채워
초록색 아저씨 노란색 네모
언제쯤 철들래 대체 메모해
뛰어봤자 rosy got no manner
제시했네 원가를 근데도
you cannot pay me uh-uh
Ay 3년이 날 이리 바꿨고
다른 놈 다른 곳 uh-uh
Don’t tryna uh-uh
you cannot uh-uh
제시했네 원가를 근데도
you cannot pay me uh-uh
제시했네 원가를 근데도
you cannot pay me uh-uh
Ay 3년이 날 이리 바꿨고
다른 놈 다른 곳 uh-uh
Don’t tryna uh-uh
you cannot uh-uh
제시했네 원가를 근데도
you cannot pay me uh-uh
내 flow 투자자가 봐 need no 투잡
코스피 아냐 but 올라 막
It's never gonna fall off uh uh uh
이 말에 쟤네 be like uh huh
팔이나 발이나
하나 가져가서 대입해도
전신 네 걸친 것의 배
아니면 말도 안 했어
친구 이건 real
내 거 한번 보고 나면
쟤 보석 티 나 뭐 어디서 샀어 그거
처음 들어 말한 그 Jeweler huh
뭐 어디 골목 계셨나 huh
20대에 해볼 만한 건 다해서
30대를 기다려 huh 난 줄곧
Stackin up cheese cheese
in my 2 seater
baby 자기야 아냐 빌린 차가
네 애인은 줘봐 time 두 시간
빠져 눈치껏 나는 몰라 너
Back
Back up
time to get this paper
상수동 내 동네 내가
떠야겠네 먼저 폐급
새끼들이 서로 웃고
뒤에서 사기 치는 동네
나한테도 그러는 건 좋은데
그럼 너도 잃을 건 각오해
Rep Indigo man 수지 타산 맞으면
어디든 가 안 가려 pound won yen
I can’t sing but singers need me
call me 방시혁 선생님
Rap dance 노래 난 999 하다가도
보여 주지 좆까라 세상아
I feel like I’m on the mars
날 보길 원함
better Apply to a tesla
Rolex watch 두 개엔 먼지가 수북
겨울엔 2 BMW 임시 휴무
Rhyming은 독채에서
사생활 blur 처리
벌스 하나 채우려면
비워야 돼 재떨이
난 매번 fresh 한 flow로
급류타 Cash flow
루키는 Price tag 떼고
수여해 featuring 개코
훈장을 이 동네 김나박이
나 빼면 서운하지
뜨내기와 더부살이는
문장 몇 개로 청부살인
늘어난 티에 꼬맹이는
답 안 나온다는 길을 택해
내 학창 시절은 낙제 근데 봐
국어책엔 내 가사 채택돼
된장 똥 구분 못하는
커뮤니티는 색맹
한 시간 반복 재생
50초로 게시판 갱생해
스물한 살부터 나는 이미 사기캐
21 blackjack yeah
탕진이 컨셉일 때
한도 낮추고 존버에 비축해
요즘 힙합은 브랜드 위에 샹들리에
반 정도는 동의해
내 아틀리에에서 연마해
VVS 급 다이아몬드
제시했네 원가를 근데도
you cannot pay me uh-uh
Ay 3년이 날 이리 바꿨고
다른 놈 다른 곳 uh-uh
Don’t tryna uh-uh
you cannot uh-uh
제시했네 원가를 근데도
you cannot pay me uh-uh
제시했네 원가를 근데도
you cannot pay me uh-uh
Ay 3년이 날 이리 바꿨고
다른 놈 다른 곳 uh-uh
Don’t tryna uh-uh
you cannot uh-uh
제시했네 원가를 근데도
you cannot pay me uh-uh"
ㅈㄴ멋있어허성현,허성현 (Huh),"3분을 못 기다려
egg drop 아침을 먹어
새 이름 부르는 걸 잊어
걘 몰라 내일의 난 어딨어
ㅈㄴ 그냥 난 멋있어
츄리닝에 슬리퍼로 perform
리허설 없이도 get pop
끝나고 나니 쟤 왜 멋있어
하품에 알코올 배 있어
카페인 꽉 차도 pull up
문제야 누가 날 말려줘
문제아 누가 날 말려 huh
수군대 저기 쟨 누군데
목에 있는 건 키스가 아닌데
내가 왜 네 술자리에서
자랑거리 좋은 건 알겠는데
뱉어 내 침 투 싸가지없어
예뻐 뒤집어서 거북선
눈물이 고여 내 고향에선
너보다 내가 더 선배
머리 안 감고도 주인공
촬영에는 츄리닝 난 범인 huh
걔네들이 소리 질러 손을 들고
내가 훔친 건 마음이니까 배로 갚어
어릴 때 배운 건 도둑질
못하겠지 거짓말은 그냥 직진
힙합 하지 이게 힙합이니
너넨 배워야겠네 걔네들 힙합 아니지
있어도 못하지 넌 courage
내 목소리 발음은 걍 gifted
찔려 내 양심은 못 해 이런 짓
근데 걔도 아는가 봐 힙합 shit
변기 물 내리고서 뒷짐
내가 하고 싶은 건 걍 직진
쉽게 먹어 치워 like 비스킷
보는 놈들마다 될 놈으로 pick me
비밀스레 살아야 해 닌자
가져갈까 봐 겁나지 내 tick tock
배때지에 쑤셔 넣어 2500 volley
무너지는 소리가 네 존심
솔직히 내가 왜 화내야 해
노력하는 건 너희고 난 안 해
붙어 다니는 놈들이 거기서 거기
찾지 좀 마 니네 술자리 빌 때
Plus 500만 원으로 술값
Plus 300을 엄마 아빠
Plus 1000을 금고에 다 빡
Minus 이러다간 금방
3분을 못 기다려
egg drop 아침을 먹어
새 이름 부르는 걸 잊어
걘 몰라 내일의 난 어딨어
ㅈㄴ 그냥 난 멋있어
츄리닝에 슬리퍼로 perform
리허설 없이도 get pop
끝나고 나니 쟤 왜 멋있어"
뜨거워 완전 Totally Hot (Feat. 던밀스),ZENE THE ZILLA,"이제 진짜 여름이야 뜨거워 완전 
오늘은 내 생일이야 즐거워 완전 
이제 진짜 여름이야 뜨거워 완전 
오늘은 내 생일이야 즐거워 완전 
이제 진짜 여름이야 뜨거워 완전 
오늘은 내 생일이야 즐거워 완전 
이제 진짜 여름이야 뜨거워 완전 
오늘은 내 생일이야 즐거워 완전 
오늘은 내 생일이야 즐거워 완전 
나는 생각 안 하고 놀거야 안전 
나는 앉아있을 수가 없어 얌전히 
나는 미친듯이 뛰어놀아 광견 
나를 찍어올려 인스타 나는 관종 
우리 피카츄들 오늘 밤새 방전 
취해 faded faded faded faded 암전 
야 잠깐만 불 켜봐 다시 한 번 
야 여전히 쌈뽕 야 여전히 삼봉이는 
멋있어 멋있어 멋있어 
야 어딨어 어딨어 어딨어 야 
이리와 같이 놀아 야 
케이크 한 번 잘라봐 
이거 한 입 먹어봐 아 들어간다 
내 생일을 축하해준 형제들 
너무 고마워 나는 이제 어디든 
갈 수 있을 것만 같아 받아 용기를 
이거 받고 올라갈게 저기 저 위를 
올라가서 거 있는 거 다 갖고와서 
형제들에게 다시 나눠줄거야 
이거 홍길동 간지로다가 
그래 이거 홍길동 간지로다가 
그리고 빌딩을 세울거야 
우리 저기 양지에다가 
우리가 사는 거는 전부 양질에다가 
최고급 핫해 핫해 
지금 여름처럼 말야 
이제 진짜 여름이야 뜨거워 완전 
오늘은 내 생일이야 즐거워 완전 
이제 진짜 여름이야 뜨거워 완전
오늘은 내 생일이야 즐거워 완전
이제 진짜 여름이야 뜨거워 완전
오늘은 내 생일이야 즐거워 완전
이제 진짜 여름이야 뜨거워 완전
오늘은 내 생일이야 즐거워 완전"
커피가게 아가씨 (Feat. 원슈타인) (Prod. PEEJAY),BIG Naughty (서동현),"우리 동네 커피가게에는
아가씨가 예쁘다네 So Hot
네가 나를 볼 때 표정과 네 눈빛
걸음걸이가 날 미치게 해
God Damn
우리 동네 커피가게에는
아가씨가 예쁘다네 So Hot
When you walk in to the coffee shop
Take a sip you’re driving me crazy
Oh’ O 마이크보다는
앞치마가 잘 어울리는 남자 Okay
친구들과의 가위바위보에서
져서 이러는 건 절대로 아냐 No way
쿵치탓치 붐뱁 나랑 같이 놀래
그럼 넌 대체 뭔데 라 말하는 넌 뭔데
Girl 넌 너무 말랐지
But I ain’t no paparazzi
마치 투도어가 달린
스포티지 마세라티
Oo stop
Just stop the game
이걸 느낀다면 나랑 같이 나갈래
한번 더 Stop
Just rock the game
넌 시멘트에 색감을 이식해
눈 씻고 여기를 봐도 저기를 봐도
지가 제일 예쁜 단 걸
아는 듯한 너의 표정과 또 너의 눈빛
걸음걸이는 너무 예뻐
우리 동네 커피가게에는
아가씨가 예쁘다네 So Hot
네가 나를 볼 때 표정과 네 눈빛
걸음걸이가 날 미치게 해
God Damn
우리 동네 커피가게에는
아가씨가 예쁘다네 So Hot
When you walk in to the coffee shop
Take a sip you’re driving me crazy
가게 손님 나밖에 없을 때는
우리 둘이 오붓하네
OoOoOoOoOh
몇 시간 째 자릴 못 떠나
3천원짜리 한잔에
아 고작 한잔에
True story 는 말도 못 거는
나 자신을 한탄해
No I can't stop
그녀를 태우러 오는 벤츠
오너 있을 것 같아 불안해
그녀는 필터를 걸러 또 미소를 지어
커피 색깔 비슷한 Skin tone
I'm sicko
몇 일 동안 참다가 마시는 한 모금처럼
내 온몸에 퍼지고 있어
데자뷰
이건 데자뷰
지금은 용기를 내야 할 때야
I'm not gonna lose you
우리 동네 커피가게에는
아가씨가 예쁘다네 So Hot
네가 나를 볼 때 표정과 네 눈빛
걸음걸이가 날 미치게 해
God Damn
우리 동네 커피가게에는
아가씨가 예쁘다네 So Hot
When you walk in to the coffee shop
Take a sip you’re driving me crazy
When you walk in to the coffee shop
네 향은 너무 깊어
Deeper espresso double shot
크림 뺀 마끼아또
슈프림 빼 입고 가도
아무 맛도 멋도 없다는 걸 알어
But wait 콜드브루 아인슈페너
No lose I'll spend all
My life my money my day my time
넌 어려워 스타벅스 메뉴보다 더
아 그래
네가 없는 나의 하루는 All gray
So crazy"
잠깐만,BIG Naughty (서동현),"넌 말해
We should take a time take a time
나는 싫어 너의 태연한 태연한
표정 때문에 구태여 난 구태여 난
준비했잖아 그대여 난 대여 난
수 많은 문제들 속
에서 난 걸어 불 속
매일 매일 늘 속
썩이는 날 구속 할 수는 없어
화가 난 너의 마음은 물소 같아
나는 무서워서 다시 누워
다시 일어나서 고민 고민해
카페에 앉아
어떻게 너를 풀까 일단 라떼 한잔을
슬쩍 걸쳐 그냥 다 벗어 던져
그때 내 귀에 번쩍 새 노래가 번져
아무도 없는 카페 하나를 빌려
난 너를 불러
오는 소리가 들려
아직은 눈뜨면 안돼
Hollup Wait 들으면 안돼
잠깐만 한 모금만
이건 널 위한 Live
We finally arrived
오직 너와 나만 있으면 Alright
이건 널 위한 Live
아무도 없는 밤
너와 달빛만
있어도 Feel alive
Yeah 빨리 갈게 Like a skit
근데 없어 Foreign whip
But 이 곡은 Super lit
가져갈게 너의 Lips
빨리 내려놔 그 방패
천천히 와 나한테
심장은 하고 있어 발레
약간은 느리게 안단테
왜 왜 왜 왜 그래
그런 나의 태도에 넌 왜
태 태 태 태클을 걸어 이런 넘어졌네
아직도 너 만족 못해
더 이상은 나도 못해
우리 그냥 이제 그만해
는 무슨 내가 더 잘 할게
Brrrr 우기형 혹시
남는 비트 하나 더 있으면
보내줘요
템포는 68정도로 잔잔한 걸로
아 앨범은 아니고
그런 것도 아니고
심심하기도 하고 할 것도 없어서
그냥 한번 해 볼라고여
아무도 없는 카페 하나를 빌려
난 너를 불러
오는 소리가 들려
아직은 눈뜨면 안돼
Hollup Wait 들으면 안돼
잠깐만 한 모금만
이건 널 위한 Live
We finally arrived
오직 너와 나만 있으면 Alright
이건 널 위한 Live
아무도 없는 밤
너와 달빛만
있어도 Feel alive"
"시발점 Remix (Feat. 버벌진트, Beenzino)",BIG Naughty (서동현),"Hmm Beenzino가 어디선가
내 음악을 듣고 있는 것 같아
Hmm Beenzino가 내 옆에서
같이 랩을 뱉고 있는 것 같아
When I look into your face
넌 이번 판 spade ace
We are having a race
And I’m losing my pace
넌 너무 어려워
마치 갓 시작한 chess
Bass 울리는
beat and hi hat은 좋아
Baby let’s get out of here
같이 밖에 나가자
Let’s walk without a trace
Let’s rock without a trace
Baby let’s get out of here
같이 밖에 나가자
Let’s walk without a trace yeah
I be walkin
and rockin 어디까지
한국 Asia 는 물론
표현 못해 말로는
내 목표는 Malone
I ain’t no Salvador Dali
그렇기에 난 더 빨리
keep ballin
Concentrate man
U r ‘smoking
your momma’s dream’
내 시발점에 휘발유를 부어
Hold it up man pause
My music ain’t poor
Man the times tickin
And my life’s tricky
허나 의식하지 않고
계속 keep up my vibes
계속 하다 보면 찰 수 있겠지
oh cartier
계속 하다 보면
늘어있겠지 내 커리어
나는 너무 어려
그래서 너무 어려워
나도 몰라 그냥 가자
도착지는 어디로
BIG Naughty on the left side
Verbal Jint on my right side
H1ghr Gang on the left side
Beenzino on my right side
손때 탄 공책 안 가득히
써 내려간 rhyme
그땐 당최 알아듣지
못 했지만 어렵게 구한 CD들로
배우고 익혔네
본토의 lyrics and flow
손때 탄 공책 안 가득히
써 내려간 rhyme
불가능이 하나 둘씩
현실로 바뀌는 걸 난 봤지
그건 지금도 마찬가지
Ayo wassup
열 여섯살 임성빈
넌 어서 여길 벗어나고 싶지
경기도 양평군 서종면 문호리에서
볼 수 있는 건 논두렁과 오직
산과 강이 있는 촌구석 vibe
그와 안 어울리게
귀에는 Modern Rhymes
3XL 무지티에 이태원에서 산
검은색 듀렉에
바지 허리둘레는 약 34 or 36
You're lookin for a dirty b****
근데 하필 네 여친은
혼전의 순결을 지키려고 하는
Catholic
But you want her to lick your d***
또 욕심 부리지마
해 본 적도 없으면서 키스
잃지마 한 가지
Peace of your mind
너무 서두를 필요는 없어 임마
진짜 원하는 게 있고
그게 어거지가
아닌 진정한 것이라면
다 얻어지니까
너가 부러워하는 랩퍼들
또 잘 나가는 형들
의식하지 말고
계속 keep up your vibes
진짜 원하는 게 있고
그게 어거지가
아닌 진정한 것이라면
다 얻어지니까
손때 탄 공책 안 가득히
써 내려간 rhyme
그땐 당최 알아듣지
못 했지만 어렵게 구한 CD들로
배우고 익혔네
본토의 lyrics and flow
손때 탄 공책 안 가득히
써 내려간 rhyme
불가능이 하나 둘씩
현실로 바뀌는 걸 난 봤지
그건 지금도 마찬가지"
휴(休)(Feat. 기리보이),BIG Naughty (서동현),"휴우 한숨을 길게 뱉어 봐두
휴우 일부터 십까지 세 봐두
휴우 기나긴 하루가 끝나 두
휴우 너는 왜 잊혀지지가 않아
휴
I wanna be wanna be rapper
되고 싶었지 나
가까워지는 중이야 아빠 꺼는
죽었지만
슬프지만 아름답게도
조각이 났지 다
이 노래가 위로가 될진
잘 모르겠지만
엄마 걱정은 하지마
Mom your son is doing fine
똑같은 하루 들이
또 널 아프게 하면
그냥 크게 한번 뱉어 yeah
휴우 한숨을 길게 뱉어 봐두
휴우 일부터 십까지 세 봐두
휴우 기나긴 하루가 끝나 두
휴우 너는 왜 잊혀지지가 않아
쉴 때가 됐나 봐
아무것 도 없는 책가방
등 뒤에 매고 떠나고 싶어 어디든
쓰레기 같은 추억들을 다 버리고
아무도 없는 무인도
고개를 너무 숙이고
있던 내 등을 펼 수 있게
나를 좀 보내줘
우물은 얼어버려서 너무 추워
나를 좀 꺼내줘
사람이 너무 많아
사람들 사는 세상이지만
사람이 무서워 난
사람은 사람을 사귀지만
절벽 끝에서 난 휘청 이고 있어
사람들은 자꾸 밀고 있어
나를 좀 살려줘라
아직 살고 싶어 난
휴우 한숨을 길게 뱉어 봐두
휴우 일부터 십까지 세 봐두
휴우 기나긴 하루가 끝나 두
휴우 너는 왜 잊혀지지가 않아
하나 둘
셋 you
넷 blue
다섯 gloomy
여섯 cold
일곱 distressed
여덟 blank
아홉 휴"
Oscar,"pH-1, 지소울 (GSoul), BIG Naughty (서동현), 박재범","Every good day start with a good yawn
잠을 푹 잤더니 시간은 두시야
밖에 나갈 준비하지 너를 만나러
너와 Sipping하는 커피는 너무 달아
넌 당부했지 오해하지마
사귈 마음 없어 절대 고백하지마
And it cut my heart open
Put me in a coffin
그 말과 동시에
부서진 존심
침착 Gotta relax
Hollywood 웃음짓네
Ha ha ha
Laugh like it’s funny
오스카를 원해
아카데미 원해
긴장 안 한 듯이
영화배우처럼 제스처는 큼직
Ha ha ha 
Laugh like it’s funny
오스카를 원해
아카데미 원해
I’ll be the one
네가 원하는 모든 역 다
완벽하게 소화 해낼게
I’ll be the one
아무한테 안 보여준 내 모습 다 
너 원하는 건 I’ll be the one
Oh O O 잠깐만이여
Oh no O 잠깐 Wait me up
어 아 음 길을 물으려
하는 건 아냐 사실 할말이 있어서
오 오 오늘 시간 있어여
Uh oh 없어도 내게 와줘여
일이 많아도 
오 잠깐만 욜로 와 ay
Okay 너를 데리러
갈게 너는 어디야
Oh baby 그냥 Call me up
Olleh 난 네 Man이여
엄마 다음으로 너를 사랑해 Girl 
나한테 와
수많은 생각들이 
내 머리를 스칠 때마다 드는
한가지 비밀은
나는 바로 아마도 아 맞다
사실 그게 음 
I think I love you so much
I’ll be the one
네가 원하는 모든 역 다
완벽하게 소화 해낼게
I’ll be the one
아무한테 안 보여준 내 모습 다 
너 원하는 건 I’ll be the one
I’ll be the one to 
give you the best of me
Baby girl just leave it up to me
Yeah U know that I’m the one to be
I’ll be the one to 
give you the best of me
Baby girl just leave it up to me
Yeah U know that I’m the one to be
네게 필요한 역이 돼줄게
Whenever you need someone
예상치 못할 큰 감동을 줄게
Whenever you need someone
I’ll be the one
네가 원하는 모든 역 다
완벽하게 소화 해낼게
I’ll be the one
아무한테 안보여준 내 모습 다 
너 원하는 건 I’ll be the one"
문제 (Feat. 쿠기 (Coogie)),BIG Naughty (서동현),"전부 문제 같아
정답을 알아도
풀 수 없는 문제 같아
아니 아니 기리형 잠깐 hold it up
정답 따지기도 전에 문제는 뭔데
아침 일찍 일어나는 것부터가 문제
I don't know 그래서 정답은 뭔데
when I was so low
when I was on role
펜을 잡고 답에 체크
I was certified
대치동으로
여행을 가도
방향을 몰랐었다고
I was undecided
mother father I'm a bad boy 미안
엄마 아빠 나는 나뻐
문제 풀기가 싫어 학원 쨌어
life is like 9월 모고 29번 같어
풀릴 듯 말 듯 한데
안돼 인수분해 같애
고3 형 누나들이
전부 힘냈으면 하네
친구들 엄마 아빠
활짝 웃었으면 하네
ay huh BIG Naughty 기리
우린 빛나리 yeah
여긴 문제가 많아
정답을 알아도
아직 숙제가 많아
정답을 알려줘
아버지 아버지 아버지 아버지
어머니 나는 음악을 하고 싶지
할머니 아버지 어머니 look at me
BIG Naughty gonna
get dollars anyway
way ay ay
왜 왜 왜
문제는 많은데 정작 답은 없지
아무 생각 하기 싫어 걍 발을 뻗지
입시가 끝나도 시험은 늘었지
복잡해 여긴 머릿속은 엉켜있지
every day
정신 못 차린 채 거리를 활보해
오답이 넘치네
시험지는 make it rain
답을 찾으려 해도 여긴 노답이네
문제를 찾을 필요가 없네
I don't know
I got 99 problems
터질 것 같아 못 참지 boy
전화받아 기리형 노랠 불러
with BIG Naughty boy
방에 박혀 눌러 앉아 치여서 못 살지
고민은 치워 저기 저 뒤에
오늘은 쉴래
오늘은 chillin 오늘은 힐링
더 어울려 여긴 도시보단 밀림
작업은 속이 터져
갈 데까지 갔어 질림
목구멍은 쉬지 못해 바늘 계속 찔림
BIG Naughty Coogie
우린 bill stackin yeah
여긴 문제가 많아
정답을 알아도
아직 숙제가 많아
정답을 알려줘
아버지 아버지 아버지 아버지
어머니 나는 음악을 하고 싶지
할머니 아버지 어머니 look at me
BIG Naughty gonna
get dollars anyway
way ay ay
왜 왜 왜
하나둘씩 풀어가는 것
시험지 같아
하나둘씩 이뤄가는 것
watch me drivin high
태정태세문단세
수헬리베붕탄질
까먹으면 안 돼
엄마가 날 믿고 있기에
나는 더 많이 벌어가야지
나는 더 멀리 날아가야지
나는 더 빨리 가야만 하지
엄마 아빠가 웃을 때까지
keep ballin
way ay ay
왜 왜 왜
전부 문제 같아"
