제목,가수,가사
HIGH (Feat. pH-1),릴보이 (lIlBOI),"man 난 준비됐지 빨리 넘겨줘 내 mic
꽉 찬 내 자리
8인용 탁자 위 여전히 두 개의 날인
다 커버린 머리는 내 비니도 못 가리지
한 번에 못 들이켜
많이 써 내 bacardi는
151 on fire
느려도 스텝은
big papa
zip 라이터
하나로 뿜어내는 연기
털어내 어깨 위 쌓인 먼지
ok ok 데려왔지 내 whole team
돈보다 좋은 가성비
없어본 적 없다 뭐라 하는 너는
이 느낌을 모르지
yeah you never had friends
아무리 많이 갈라도 달잖아 우리 cake cake
성공의 역설은 나누는 데 있지
아무것도 없는 지하에 
baby I'm makin' bars after bars 
역시 취해있지만
when I'm on the mic boy I keep it sexy
god damn
친구들 다 불러내지
we here to do somethin'
들어올 땐 혼자였지만 이제 내 주변엔
이 많은 사람들이 소리 질러 
now let me get high
let me get high
mofu**er get high
now let me get high
let us get
깊게 마시고 뱉어
난 이걸 즐겨왔지 아무것도 없을 때부터
자본이 없는 문화에
돈을 어떻게 버냐고
답이 경쟁이었다면 nah
You know the rest
어릴 때 부터 배운 건 나보다 우리네
적자가 난 공연장에 형들이 와서 건넸던
돈은 크지 않아도 마음은 움직이네
자수성가라는 말 죄다 뻥이지 
cuz they made me love who I am
지금 내 집밖에서 기다리고 있는 카니발엔
same dudes 대충 입고 나왔지만 
ye we ain't foolin' around 
시간아깝게 두지 않아 
다르지 않잖아 연인이던 일이던
사랑을 나눌 땐 늘어나 책임질 사람
매번 싸구려 낭만에 취해있지만
when I'm on the mic boy I keep it sexy
god damn
친구들 다 불러내지
we here to do somethin'
들어올 땐 혼자였지만 이제 내 주변엔
이 많은 사람들이 소리 질러 
now 
let us get high
she get down low
and all you lames’ intro is my outro
말보다 행동 보여주면 눈을 감아
흐름 못 보는 너희 질려서 
I popped off
자세 바꿔 앉아 방구석 losers
아유 박사들 납셨네
근데 왜 뒤에 숨어?
너희 집에서 코팔때
난 전 세계를 돌아
내 공연장엔 무지개처럼
온갖 색들이 줄 서
baskin robbins
at my concert
you be careful
I’m a monster
수많은 브랜드의 DM
they wanna sponsor
and all these idols wanna..
nevermind boy
I do it proper
대충 할 거였으면 난 시작도 안 했어
I’m best in game
너넨 연예인 병 wannabe celebrities
랩펀지 인플루언선지
어찌 그리 멋이 없던지
take me off your playlist
줄게 다른 재미
god damn
친구들 다 불러내
it’s me against your whole gang
들어올 땐 몰랐었지만 이제 깨달았네
여긴 날 필요해한다는 걸 
now let me get high
let me get high
mofu**er get high
now let me get high
let us get"
안개꽃 (feat. Dahlia Kim (달리아킴)),강민수,"아름답게 춤추는 나비야
뭐가 급해서 멀리 떠났나 (어디가)
그대가 여기 오던 날
그 길가에서 주저앉아 운다
구슬픈 그의 마음속에
흩날리다 사라질 텐데
희미하게 저 멀리에서
들려오는 까마귀 소리
안개꽃 찬란히 피어난 곳에
우리 향기만 남았네
다 그을린 흰색 잿더미 조각
바람 타고 가네
지독히도 괴롭히다
끝내 들리던 익숙한 울음소리가
흐느끼듯 비가 되어 날 적시니까
사라진 곳에 살아갈 틈이 없어
후회가 주는 책망인가
입안이 마르도록 소리치다 못해
영원한 바람으로 남겨진 이곳에
차분히 앉아 비로소 들려온 노랫말 따라 불러
손잡은 그대 내 품에 와
서서히 잊혀져가는 기억들
애쓰던 모두 그저 그런 사람 되고
거슬러 갈 수 없는 것에 의미를 두어
산다는 것은 부질없는 최선
또 무뎌져 반복이 되는구나
내 시간에 머물던 그 사람아
충분히 웃다가 올 때까지
그토록 그리워할게 나
안개꽃 찬란히 피어난 곳에
우리 향기만 남았네
다 그을린 흰색 잿더미 조각
바람 타고 저 멀리로
안개꽃 가엽게 날 보며 웃네
사라진 이름을 품에
꽉 안은 채 주저앉아버린다
그저 살아가네
목 놓아라 불러본다
오지 않아 텅 빈 가슴을 묻은 날
혹여나 문 열어놓으면 아니오나
이슬 맺힌 창가만 또 바라본다
안개꽃 찬란히 피어난 곳에
우리 향기만 남았네
다 그을린 흰색 잿더미 조각
바람 타고 저 멀리로
안개꽃 가엽게 날 보며 웃네
사라진 이름을 품에
꽉 안은 채 주저앉아버린다
그저 살아가네"
Ladidadi!,던말릭 (DON MALIK),"Whatever say 'bout me, bruh
매일마다 stacking cheese like 임실, bruh
헤프게 벌려 돈은 또 낳아 baby money
Happy birthday song for my bills, whoa
난 매일 바퀴를 굴려 돈벌레라 불러
총알보다 무서운 건 세무서
Too busy to pull up 배워 실전 수학 수업
성적표엔 수천 찍혀 그 다음 목푠 수억
너흰 말만 쉬워 난 행동이 훨 수월
7, 꽉 스케줄 발걸음 옮겨 work to work
내게 holiday는 오직 Billie
So till I stack the billion
휴일에 쉬는 게 좀 서툴러
없어 돈 많은 부모 효도는 더 많은 부로
너희 엄마는 분명히 우리 엄마를 부러워 해
내 주머니 속의 돈을 cash라고 쓰고
읽을 때는 발음해 질투로 aye
내 시야엔 여전히 없는 shinny jewel
허나 그 가격댈 알게 돼 넘보는 기분도
구글한테 물어봤던 VVS의 뜻도
이제 내가 모르는 건 거지새끼들의 불평 so
S**t the f**k up and pay me
S**t the f**k up and pay me
S**t the f**k up and
One more time
Aww, Lord, I love my job
When it gets these whole lot a guap
눈덩이 굴러 가지
멈추는 법을 난 잘 몰라
알았다 해도 I won't gonna stop
다 해서 전부가 얼마던 간
다다익선 다 맛있어
난 마치 3, 4일 정도 굶은 거 같은 crocodile
What’s a rehab to a workaholic?
같은 시간 다른 시계 the day I rock a Rollie
F**k your party 나타날 시간에
나의 계좌에서 와리가리 할 때만 해, ladi-dadi
너흰 화성 가고 파도 경기도로 가고
난 서울 살고 있는 Martian, ugh
높아지면 높아질수록 태어난 고향에
점점 가까워져 so
Ladi-dadi, f**k your party
난 거기 나타나지 않지
Ladi-dadi, f**k your party
난 거기 나타나지 않지
Ladi-dadi, f**k your party
난 거기 나타나지 않지
No show, 돈이나 더 벌지 그 시간에"
WORK Remix (Prod. Jeffrey White),"스윙스, NO:EL, 노윤하, CHERRY BOY 17 (체리보이17)","패배자의 마인드가 뇌를 지배 
다 거기서 거기 
달고 사는 입버릇
꼬락서니들하고는 
그릇을 대변해 쥐새끼들 
b***h ass movement 
skrr skrr
바닥에서 나락 
나락도 락
Let me introduce myself 
I go by da name of rockstar
문 대표님 밥줄 
제끼네 앵간한 popstars too
Entertainer 그 의미는
내 고혈 빨아 쳐 먹는 
유튜브 아님 기사천지 포털사이트 
검색해
man
사람 못돼 안돼 갱생
난 대놓고 노선 틀어 
돈이나 벌어 난
뱀 새끼 
마음대로 naming 하고 
가둬 frame안에 
ha ha 
웃기지 
집단 세력의 생매장 
발로 보란 듯이 걷어차고 나온 
대한건아에 미친 새끼
가 바로 이 몸 
귀신이 해주는 
Ghost writing
성립 안 돼 사실 
적시 명예훼손
빠삭해 법 
AP가 뭐 어쩌고저쩌고
I put the work in
I put the work in
I put the work in
***** keep on working
I put the work in
I put the work in
I put the work in
***** keep on working
Working 노윤하 never stop shit
Don't close convenience store shit
나 바쁜데 안 바빴지만 차렸어 이제는 정신
I think I’m gonna 46kg like 체리보이씨
밥 먹을 시간도 없지 다 알잖아 내 소식 
Do you know 노윤하 
모른다면 turn it up
""He's a baby GOAT""
들려? Everyone is talking now 
구라 그만 쳐 인마 
배 아픈 거 다 보여 인마 
애써 괜찮은 척 
새끼 입만 열면 또 거짓말 
yeah perfect choice 나 다른 거 할 때가 아니야 just album dropping
뱉고 또 뱉어서 홀로 겨우 여기까지 올라왔지 
나 일일이 안 따져 네가 원하는 좀만 한 tiny profits
입만 아퍼 이제 내가 어린 건 너네 집 개도 알지 
Don't stop 퍼져 like wifi 
I wanna top 슬며시 knock knock
너 원하잖아 제대로 된 다음 타자
걱정 말아 나 이 순간에도 계속 upgrade now
안녕 날 소개하지 이름은 체리보이 취미는 딸치기
김하온이 명상 접었으니 현타 온 김에 내가 하지
헬창들이 듣는 노래에 멸치가 오니 탄식
나도 한때 여자 빵댕이 볼려고 헬스 끊어 봤지 
 
벤치 프레스 25 키로
데드 리프트 no 판 빈 봉
스쿼트하다 그대로 주저앉아서 스마트폰
그 다음에 사진 찍고 오운완 
인정을 받고 싶은 건지 그냥 박고 싶은 건지
I don’t know 근데 난 후자에 속해 밑엔 덜렁
난 살찌려고 헬스장 갔다가 살 빠져서 접었어
다이어트하고 싶으면 체리보이 팔로우 박어 
팔로우 박고 나도 박고 맞팔 하고 얘기하고
왜 내가 맨 마지막에 한 말에다 하트 박어
걍 신기해서 디엠 보냈던 건데 나만 깊게 취해서
말하다 인스타 스토리에다가 박제됐어
I put the work in
I put the work in
I put the work in
***** keep on working
I put the work in
I put the work in
I put the work in
***** keep on working"
오로라,arkyteccc,"너와 같이 걸었던 바다의 생각을 하다
뛰어들 마음을 잠갔던 그때의 시간 음의 곱은 양
저 멀리 빛으로 수놓아질 때 바라보고픈 하늘
영원의 한 부분으로 박아둘 순간은
검은 밤으로 눈 먼 세계를 채워
비밀로 남겨야 하는 새벽이 생겨
이 순간이 오래 기억에 남을 것 같아
이 순간을 오래 기억할 것 같아
별이 담겨있는 눈동자에
떨어져 있어도 같은 하루를 겪고 있는 것 같네
출구 없는 꿈결을 헤맸던 내 옆자리를 위해서
남아줄 누군가의 배역에 목맸던 한때
하지만 나아가지 못해 밤이 믿기지 않는다면
그 불신은 아침을 맞을 미소를 가두는 가면
그리운 기억과 절대 지울 수 없는 장면을
끊임없이 되풀이했네 그곳을 낙원이라고 여긴 채
두고 온 세상이 아직 멈춰 있네
언제나처럼 '어쩌면'과 다음을 바꿨지
꾸며낸 기억은 수평선으로 빨려들어가
저무는 한 점이 돼, 그 뒤의 배경은 달라졌지
처음 이걸 보는 것처럼 내가 바보같아도
멍하니 앉아, 아무 말없이 바라볼까 해
후회가 밀려오지 않을 유일한 시간으로,
고요한 밤 머리 위엔 빛으로 적히는 파도
너와 같이 걸었던 바다의 생각을 하다
뛰어들 마음을 잠갔던 그때의 시간 음의 곱은 양
저 멀리 빛으로 수놓아질 때 바라보고픈 하늘
영원의 한 부분으로 박아둘 순간은
검은 밤으로 눈 먼 세계를 채워
비밀로 남겨야 하는 새벽이 생겨
이 순간이 오래 기억에 남을 것 같아
이 순간을 오래 기억할 것 같아
내 옆에 아직 너가 있단 건
이곳이 꿈이란 증거지만
늘 거짓말은 그렇지 다시 못 볼 풍경을 펼친 다음
모래시계의 바닥으로 낙하, 일몰을 향해 걷지
한 순간에 기대어 살 나에게 벽을 갖게 해줘
기록으로 남지 않을 뒷모습도 이젠 번지게 뒀지
손을 놓음 쫓아올 그림자를 어떻게 버티겠어
기도보다 낮은 약속에 걸린 새끼손가락
우릴 가라앉힐 만큼만 내일을 미워할까
가장 먼 너에게 말할 작별이 가까워져
이젠 떠나서 어떤 소식도 알 수 없게 돼도
이건 내 결정 중 제일 아름다운 미완성이 될 거야
상처들이 아직 널 숨긴다면, 내려와
하얗게 바랜 재들이 흩어지며 잠겨
귀를 낮춰 철썩여도 우리 가만하도록
후회가 밀려오지 않을 유일한 시간으로,
고요한 밤 머리 위엔 빛으로 적힌 파도
너와 같이 걸었던 바다의 생각을 하다
뛰어들 마음을 잠갔던 그때의 시간 음의 곱은 양
저 멀리 빛으로 수놓아질 때 바라보고픈 하늘
영원의 한 부분으로 박아둘 순간은
검은 밤으로 눈 먼 세계를 채워
비밀로 남겨야 하는 새벽이 생겨
이 순간이 오래 기억에 남을 것 같아
이 순간을 오래 기억할 것 같아
이 순간이 오래 기억에 남을 것 같아
이 순간을 오래 기억할 것 같아"
일조량 변환 메트로놈,arkyteccc,"찢어질 듯이 눈 부시다가
암막으로 덮이지 깜빡거리는 이 낮밤
찢어질 듯이 눈 부시다가
암막으로 덮이지 깜빡거리는 이 낮밤
올가미 속 목 감긴 시체처럼 맞는 아침
홑겹 옷가지 손 넣을 곳 찾지 못하고 걸어간 그 날같지
마음은 적셔 고쳐도 여전히 작품 녹슬 자리
음성의 전달로 천만이 부정할 영화이길
christ 앞 anti 혹은 La Ultima Tentacion
영원들은 남게 되는 거지 못 박히면서
머릿속 다 비웠어, 거지꼴 같이 더럽힌 입과 손을
으슬하단 핑계로 모아봤지
어서 너도 기대, 자, 진심으로 빌어봐
그딴 건 같다 했던 어젠 이미 흩어졌어
낮달이 갇힌 사막 위 삶에 지쳤어 난
스치듯 비친 우물의 신기루에 짐 같은 꿈은
어떤 가치도 있지 않아
열병을 닮던 잠을 앓다가
낫게 된 날 과연 깨어났다 할 수 있을까
몇 번을 더 겪을 기상과 장면들이 바뀌는 사이에
이명을 끊어줄 누굴 만날 수 있을까
계속 헤맨 다음 그를 만날 수 있을까
미로 속을 헤맨 다음 그를 만날 수 있을까
들끓지 않을 술에 취해 걸어가고 싶었어
마음이 타 버릴지 무섭지 않아도 되도록
자각몽 속에도 난 넘어갈 수 없는 경계선 앞에
기도를 받아줄 하늘 위의 누군가 있길 바랐네
얼어붙지 않을 술에 취해 걸어가고 싶었어
해가 떴는지 더 묻지 않아도 되도록
그러다 마주친 거대한 그늘은 얼마나 휴식같았게,
기도를 짓고 싶을 만큼 내가 무너져 있길 바랐네
전부 멀어지게 놔둬야 했으니
결국 그 뒤의 어둠까지 버텨야 하는 일
너무 당연해, 그걸 모든 풍파를 겪은 뒤 알았지
태풍 속 어린 양 자비로 구하소서
전부 멀어지게 놔둬야 했으니
결국 그 뒤의 어둠까지 버텨야 하는 일
너무 당연해, 그걸 모든 풍파를 겪은 뒤 알았지
태풍 속 어린 양 자비로 구하소서
실수로 누른 홀드, 검은 화면에 비춰 투영해봐
사랑하는 때와 것, 사람들을 그렇게 다
보내고 나서 '아무것도 바꿀 수는 없었네' 라고
후회할 때는 시간의 반대편에 있어
실수로 멈춘 걸음, 검은 하늘을 비춰 투영해봐
사랑하는 때와 것, 사람들을 그렇게 다
보내고 '아무것도 바꿀 수는 없었네' 라고
후회할 때는 시간의 반대편에 있어"
입에총 (feat. 지코 (ZICO)),QM,"대표가 너가 재능 있었다면
지금처럼 방치하겠냐 묻는 이 알던 형
지금이라도 전과해
문창과 취업 안 돼 나도 옛날에
밴드 하다 관두고 직장 다닌 돈으로
차 끌고 다니잖아, 널 위해 하는 말 들어
개미는 개미답게 바닥에 납작 엎드려
너도 나랑 똑같다고 먼저 살아봐서 알어
전화로 불을 토해, 높아지는 언성
근데 자신감 없지, 왜 증명할 길 없어
너의 패배를 나에게 투영하지 마라
지만 아는 말투로 널 위해 한 말이야 
장난이었다, 말하길래 끊어버린 폰
7년째 살아남은 뒤에 다시 만나 면
당신에게 할말이 아주 많이 남아있어
아직도 화가 나 있어
Lock and loaded 밖에 놀던
애들도 놀라, 나 방아쇠를 당기면
나쁜 놈 되도 돼, 가끔 맡겨 널
참으란 말 믿지 마, 어차피 삶은 모험
그때 총 꺼내지 못해, 아직도 자다 깨
피는 못 속여, 혓바닥, 아빠 DNA
할 말 다 하고 살았다, 피 봤다는 아빠지만
할 말 다 하고 사는 나 불렸지 아빠 지갑
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, got yourself a gun
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, got yourself a gun
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, got yourself a gun
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, got yourself a gun
총성 울리고 다 줄행랑을 치거나
검지를 겨누면서 서로 척을 지거나
깍두기는 신나, 누가 이기거나 지거나
손절이면 처음부터 악수하지를 마
무삭제판 지코는 좀 고어해
역겹지만 난 사실 그대로를 토해
불순한 의도로 속내를 떠 볼 때
난 자진해서 녹취록을 따, 스튜디오에서
뭐 한 방을 노린다고?
어리버리 눈에 총기는 어디 갔어
전원 엎드려뻗쳐, 열여섯 마디만 맞자
돈보다 매를 버니까, 벌이라 생각하고 받아
Life is suck, 난 학 똈어
인간은 껍데기 벗기면 죄다 한통속
갓생도 타겟팅된 순간엔 쫑나
Before they hit you, you gotta go and attack em’ first
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, got yourself a gun
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, got yourself a gun
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, got yourself a gun
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, got yourself a gun
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, 나도 입에 총있어
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, 나도 입에 총 있어
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, 나도 입에 총 있어
입에 총 있어, 너도 입에 총 있어
가만히 듣지 말고, 나도 입에 총 있어"
밤새,BE'O (비오),"밤새 너를 떠올리다 날 새 
지독하게 떠오르네 
이 밤에도 떠올랐네 
살래 너 없이도 제발 살게 
얼마나 더 나와야 갈래 
이 밤에 나의 꿈에 
넓은 소파를 괜히 샀어 
바꿔야지 하며 아까워해 
너와 앉아 얘기했던 추억들도 
버리는 것 같아서 
너를 지우고 싶은 건 맞아도 
매일 봤던 넷플릭스도 
끼니때마다 망설이지 않고 틀던 
무도 모음도 
도통 볼 엄두가 안 나 아직도 
So 악몽 
가져가 줄래 이 밤 
가져가 줄래 네 향 
가져가 줄래 네 마음 
이제 미치겠어 
가져가 줄래 이 밤 
가져가 줄래 네 향 
가져가 줄래 네 마음 
이제 미치겠어 
 
I still love 
I still love 
I still love you 
Once more 
 
But I can't love 
I can't love 
I can't love anymore 
 
기분이 썩 
좋지는 않지만 널 
잊어보려 해야지 뭐 
살아질까 모르지만 
 
밤새 너를 떠올리다 날 새 
지독하게 떠오르네 
이 밤에도 떠올랐네 
 
살래 너 없이도 제발 살게 
얼마나 더 나와야 갈래 
이 밤에 나의 꿈에 
 
나의 꿈에 
나의 꿈에 
나의 꿈에 
나와 쉬던 너의 작은 숨에 
 
바람을 기억해 꿈이 깨도 
베개에 코를 박고 맡아보던 너의 그 
오르페옹 향처럼 넌 
진하게 남아돌잖아 또 
 
우리 함께 찍은 인생네컷도 
이름 모를 할아버지의 버스킹도 
어딜 가든 너랑 함께한 추억만 
되새기네 so 악몽 
 
가져가 줄래 이 밤 
가져가 줄래 네 향 
가져가 줄래 네 마음 
이제 미치겠어 
가져가 줄래 이 밤 
가져가 줄래 네 향 
가져가 줄래 네 마음 
이제 미치겠어 
 
I still love 
I still love 
I still love you 
Once more 
 
But I can't love 
I can't love 
I can't love anymore 
 
기분이 썩 
좋지는 않지만 널 
잊어보려 해야지 뭐 
살아질까 모르지만 
 
날 떠나지 말아요 
평범했던 밤이 캄캄해졌어요 
나에게 돌아와 줄래요 
내가 없는 이 밤 그댄 어떤가요 
 
밤새 너를 떠올리다 날 새 
지독하게 떠오르네 
이 밤에도 떠올랐네 
 
살래 너 없이도 제발 살게 
얼마나 더 나와야 갈래 
이 밤에 나의 꿈에"
머리 위로 (Feat. 조광일),이진혁,"손 머리 위로 이 거리 누비러 Ye ye
에둘러 말하지 말고 저 너머에 Ye ye
손 머리 위로 이 거리 누비러 Ye ye
머리 위로 머리 위로
넌 어딜 가나 대접받지
기분 좋은 대답 아닌 정해진 답지
숨기지 말아 너의 Pose
수줍은 거치곤 There’s no stopping you
애 같은 웃음
그저 그거만으로도 가치 있는 걸
품위를 지키는 애들과는 달리
애쓰지 않지 One and only girl인 이유
느낌으론 알지만 난 네 맘을 몰라 Yeah
Cause you’re so beautiful
Cause you’re so wonderful
느낌으론 알지만 난 네 맘을 몰라 Yeah
Oh yes that shit 이젠 너도 나도 모르니까
소릴 소릴 질러
손 머리 위로 이 거리 누비러 Ye ye
에둘러 말하지 말고 저 너머에 Ye ye
손 머리 위로 이 거리 누비러 Ye ye
머리 위로 머리 위로
오랜만에 너무 취해서 발음이 안 돼
슬며시 돌아간 머리는 어디로 빼꼼
누군지 모르는 콜라의 형체를
눈으로 따라가 에스코트
네 아웃핏 구릿빛 분위기
조명까지 여긴 다 닥터피쉬
혀를 낼름거려
오늘 밤을 샌단 내가 짜놓은 계획
다 무너뜨린 너가 간담 몇 중 주차인 차도 뺄게
황새라도 따라가 더 멍청해도 바보 될래
길게 늘어진 자리와 흐림을 가미한
들이부은 술들이 아쉬워 깨기엔
너라는 보물을 데리고서
미술을 표현해 그리고 싶어
사진과 헷갈릴 캐리커처
넌 살아 움직이는 애니메이션
같아 만약 이 방을 함께 나올 땐
이 도시에 어울릴 너의 자린 가운데
힘이 들면 손에 든 그 잔을 빼
손 머리 위로 올리고서 거리를 누비며
다니자 우리 둘 같이
손 머리 위로 이 거리 누비러 Ye ye
에둘러 말하지 말고 저 너머에 Ye ye
손 머리 위로 이 거리 누비러 Ye ye
머리 위로 머리 위로
손 머리 위로
손 머리 위로
Ye ye ye ye ye ye
손 머리 위로
손 머리 위로
Ye ye ye ye ye ye"
자 이제 말을 해줘 (Feat. TRADE L)),미카엘 (MIKYLE),"이제 전활 걸 거야 너한테 
준비했어 할 말을 메모장 안에 yeah
너도 준비됐니 마음속으로 
마지막으로
자 이제 말을 해줘
자 이제 말을 해줘
자 이제 말을 해줘
시간이 필요하단 거는 핑계
갑작스럽단 것도 전부 핑계
나도 말 꺼낸 거 아니니까 쉽게
자 이제 말을 해줘
너한테 말한 것처럼 나는 너가
행복했으면 하는 거야
널 좋아하니까
부담이 됐다면은 
내가 정말 미안해
나도 내가 바보짓한 거 알아
근데 나만 힘들 순 없잖아 혼자
이기적이게 굴래 이번 한 번만
어쩜 이게 마지막이 될 수도 있지만
내가 아프게 되면 차라리 다행이라
이제 전활 걸 거야 너한테 
준비했어 할 말을 메모장 안에 yeah
너도 준비됐니 마음속으로 
마지막으로
자 이제 말을 해줘
자 이제 말을 해줘
자 이제 말을 해줘
시간이 필요하단 거는 핑계
갑작스럽단 것도 전부 핑계
나도 말 꺼낸 거 아니니까 쉽게
자 이제 말을 해줘
고민하지 말고 빨리 대답해 줘
몇 날 며칠 걸린 말이니깐 좋게 봐줘
대체 우린 뭐야 답답하게 끌어 타이밍
하필 또 안 와 잠이
난 이런데 넌 자니
제발 Come around me
늦었잖아 어디야
데려다줄게 좀 멀어도
그 시간만은 단둘이
이용하는 거 알지만
거짓말인 거 알지만
그 핑계들을 비집고 난 들어가
한 번만 들어봐
잠깐만 기다려봐
through the night
너와 나 
어디까지 와있나
잠시만 믿어봐
가지마 잡아봐
이기적인 거 다 알아 그래도
자 이제 말을 해줘
자 이제 말을 해줘
자 이제 말을 해줘
시간이 필요하단 거는 핑계
갑작스럽단 것도 전부 핑계
나도 말 꺼낸 거 아니니까 쉽게
자 이제 말을 해줘"
