제목,내용
새로움이라는 바람이 불어 좋은날 종이비행기 안에 들어있는 아침 햇살,"당신의 하늘
푸른 날이면 어느 곳이든 날아가고 싶어집니다.
접혀진
강물을 꺼내
고요함이 흐르고 있는
꽃잎의 정원을 하나 보내고 싶은
당신의 마음
순수의 시작 꽃들의 언어
꽃들의 생각
꽃들의 아픔 때문에 사랑하게된 꿈
그럼에도 꽃들의 달빛이
초생달의 꿈이면
반딧불을 파란 병
아지랑이 언어가 보이도록
풀잎들은 만들어 내고 있는 것을
바람은 처음부터
당신의 꿈을 열어보고 서야
그리 혼자 알게 되었겠지요.
그리움의 시간이 빛나고 있을 때마다 마음도 외로워짐도
사랑하는 당신이여
그래서 아름다운 날에요
바람처럼 오후의 입김이
닿으면
아지랑이 꽃밭은 어지러이 보이지만
서둘러
별빛의 꿈을 맑게 물에 넣어
그리움의 풍선
달콤함 솜사탕을 당신에게 가져와
가을의 입구
초생달의 기울어진 앞마당엔
강물의 노래도
풀잎들의 가슴으로 기대며 쓰러집니다.
당신의 마음이
시냇물이 되어
꽃들에게 흘러가고 있는
가을의 종이를 접고 있는 나뭇잎 마음이면"
구름의 들녘,"발아래엔 이름 없는 들꽃들
머무는 법을 잊은 바람처럼
그는 시간의 경계를 모른다.
너는 어디로 가느냐고 묻지만
대답은 언제나 멀기만 하고
삶은 고요히 흘러가다
어느새 낯선 모퉁이를 돈다.
잠시 머물다 다시 떠나는 길목에서
그는 뿌리 없는 시간 위에 장막을 짓고
멀어지는 것들이 주는 위안처럼
하늘 끝을 물끄러미 바라본다.
인생이란 닿을 수 없는 지평을 쫓아
구름의 들녘에 새긴 발자국
머지않아 사라지겠지만
그 발자취마저 없다면 얼마나 쓸쓸할까.
우리는 모두 머물 수 없는 길손
구름의 그림자조차 안고 가야 하는
돌아갈 곳 없는 가련한 나그네임을
그 길 위에서 비로소 깨닫는다."
갈치의 독백,"나는 바닷속에서 빛난다
광어처럼 넙죽 숨지 않고
민어처럼 되록되록 살찌움 없이
나는 꼿꼿이 서서
칼의 본분으로 살기에
잡히면 냉큼
숨 끊어버리니
산채로 수족관에 갈 일은 없지
내 피부의 은백색은
립스틱 재료가 되어
그녀들의 입술에서 반짝 산다네."
비키니 없는 비키니장,"비키니장에는 무작정 상경한
산골과 읍내의 희망 두근두근 접혀 있었다
7080의 어설픈 추억 조립하여
와락, 숨바꼭질도 하며 같이 살아온
비키니장은 지상의 가장 가벼운 옷장,
군더더기 없는 비키니가 없어 허전했지만
혼자 다룰 수 없는 비애의 보관창고였고
핑크 구름무늬 비키니장은
꿈과 방황, 유행 지난 옷과 헐렁한 짝사랑
명절용 뿌듯한 동대문 풍 귀향 옷 걸린
옷의 앨범이었고, 눈물겨운 사연 적어 넣었던
각자의 우편 사서함이었다"
응시,"맞아 이 나이에 기적 같은 일이었어
아기를 사랑하니까 낳지는 말자
우리나라가 해외 입양 세계 3위의
아동 수출국이래
그러니까 좀 더 고민해보자
아기가 우리의 길 단단하게 할 텐데……
그래도 안 돼, 기다려
용기로 해결될 일이 아니야
아가들 꿈 터 좀 더 지켜봐야 해
하지만 힌트만 돌지 정답은 없고
엄마 아빠 되기도 전에 벌써 늙네
오늘은 그냥 자자, 태몽도 꾸지마
오빠, 우리 베란다에 애기똥풀 키울까"
혼불 만년필을 보다,"혼불은 목숨의 불, 고향의 불빛
손끝에 모은 말의 씨앗과 이삭
원고지 칸 칸 쪼아 심으며 혼불 밝힌 17년
얼마나 고통스러웠으면
‘쓰지 않고 사는 사람은 얼마나 좋을까,’
꿈결 넋두리도 하였지만
주저앉을 수 없는 숙명이기에
갈 길 쓸 길 환히 열어놓고
육필의 문신으로 남은 만년필 보니
서도 지킨 수공 작가 분명하네
“혼불 하나면 됩니다, 아름다운 세상,
참 잘 살다 갑니다.”마지막 숨결로
큰 걸음 긋고 참 불빛 되었지만
만 이천 매 원고지에 푸르디푸른 만년필의
눈과 촉으로 새긴 혼불
단연코 만년을 밝힐 것이네"
빨래는 희망이다,"빨랫줄에는 신분과 취향, 몸무게는 물론
빨랫줄은 옷의 생명줄, 걸린 빨래는 생활의 이력이다
코끝을 스치는 빨래 향은 용기를 일깨워 주고
바람과 함께 바싹 마르는 빨래는
식구들의 아픔과 외로움도 가볍게 한다
간혹 나이커, 아이다스, 프로스팡스 짝퉁 옷도
빨랫줄을 차지하고 보란 듯이 흔들려 위안을 준다
주택가 대문 안 바지랑대로 올린 빨랫줄에도
아파트 베란다 건조대에도 아가들의 배냇저고리나
가제 수건, 턱받이도 눈에 띄지 않고
분홍 파랑 노랑 집게들만 참새처럼 앉아 있지만
빨랫줄은 희망을 팽팽하게 당겨
빨래의 기억을 되살리는 꿈도 꾸게 하여
골목마다 아기 울음 쟁쟁히 들리게 할 것이다"
호떡과 붕어빵,"기름 두르지 않고 도톰하게 굽던 호떡,
줄줄 흐르는 검붉은 시럽에 입술 붉혀가며
‘띵호와 우리 쌀람 맛있어해’
장난스레 생글거리며 베어먹던 호떡이
훗날 오랑캐 호胡가 들어간 胡떡임을 알고
“무찌르자 오랑캐 몇백만이냐
대한남아 가는데 초개로구나
나아가자 나아가 승리의 길로”를 폴짝거리며 부르던
단발머리 여자애들의 고무줄놀이 노래와
꾀죄죄하고 번들거리는 오랑캐 얼굴을 떠올리며
뜨거워 파들대는 참붕어빵도 사 먹곤 했었다"
얼음베개,"찌릿찌릿 팔 떨어져 나갈 듯 저리는
가을을 기다린다, 팔 내주기 위해서다
내 팔은 얼음베개였나"
된소리가 좋아,"봄동, 봄똥, 아니 무슨 놈의 똥
아니 싸먹는 똥이라니
도대체 누구 똥인가 그 맛은 어떨까
꼬들꼬들 노랗게 파마한 봄동이다
펑퍼짐한 연두색살 드러낸 봄동이다
서 있는 것은 엉거주춤 똥을 누는데
엎드린 것들은 흐벅진 봄똥을 내놓는다
텃밭에서 공기놀이하던 까치 몇 녀석
봄똥으로 요기하고 오리 녀석 쉬가 급했나
뒤뚱뒤뚱 봄똥 곁에 쪼그려 앉는다
봄똥, 딱딱하고 억세지 않은
봄의 된소리에 밥을 싸먹는다"
