token,frequency
있는,2440
하얀,1165
고운,886
속에,803
그렇게,787
되어,772
다시,762
없는,733
마음을,658
그리움의,619
당신의,581
노래의,581
아름다움의,554
작은,546
푸른,541
하나의,540
하는,538
아름다운,536
나는,517
하나,496
같은,495
마음이,488
안에,457
마음에,457
마음,453
가는,442
이제,435
바람이,424
만들어,415
있습니다,414
이렇게,407
가을,406
꿈을,402
언제나,400
않는,399
처음,391
없이,387
됩니다,381
노란,376
꽃들의,356
어느,354
바람의,352
별들의,351
시간,344
소리,341
있도록,327
그리움이,314
아침,310
어머니의,308
곱게,305
시간을,304
되는,299
마음의,285
강물의,283
있어,279
내리는,278
사랑의,277
오랜,275
내가,274
나를,273
고요함의,272
숲의,271
시간이,270
함께,269
바람,268
만들고,266
위해,266
길을,259
별빛의,255
것은,247
향기의,247
이슬비,245
사랑,238
깊은,238
가진,235
마음으로,235
나뭇잎,234
오는,234
순수의,232
되고,232
하늘,231
것을,231
살며시,231
붉은,230
눈물,229
나의,228
나비들의,228
저녁,225
곳에,222
봄의,221
있고,221
꿈이,220
숲이,216
날에요,215
위에,212
않도록,212
그리움,210
꿈의,209
초록색의,209
아래,206
