prompt,gen_title,gen_body,sim_top1,sim_top5_mean,novelty,nn_title,nn_excerpt
푸른 미소,푸른 미소,"초록빛 그 고운 미소로
새벽부터 밤늦도록 노을이 지는 꿈속에서도
내 마음을 어루만져 줄
꽃잎에 비친 달빛의 아름다운
고요함이 봄의 고요를 덮어주는
하얀 마음속에 숨어있는
별들의 눈물이 반짝이는 추억으로 알고 있습니다.
그래서 오늘도 가을은
바람이 불어오고 있는
아름다운 세상인 것입니다.
푸른 하늘이 주는 햇살의 은혜와
순수한 사랑의 빛남과
나비의 눈물 그리고
사랑하는 나의 마음은
가을밤 하늘의 푸르름으로 환히 비쳐집니다.
오직",0.89603590965271,0.8819192051887512,0.10396409034729004,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
별빛 춤,별빛 춤,"너의 가슴과 발끝에 피어 있는 햇살처럼
달콤함이 가득한 시간들
그렇게 달콤함의 첫사랑인
별빛의 꿈은
별들의 아침이 되려 하고 있네.
그리움으로 피어나는 그리움의 향기 속에
아름다움이 되어 간다면
언젠가는 다시 만져보고 싶은 마음
꽃잎들의 마음을
향기로 물들이는 것도 한가지일 테니까..
어느새 봄날, 여름날의 쉼표가 만들어지면
봄바람으로 찾아오는
하얀 눈동자와 하얀 목소리,",0.8794848918914795,0.8745115399360657,0.12051510810852051,겨울마음속으로 걸어온 바람처럼 별빛의 중심이 있어,물주머니만 들고 걸어서 가는 아침 햇살의 여행길 누가 동행하지 않아도 스스로의 빛남이 있도록 목마름도 순수처럼 솟아나고 있는 풀잎들의 샘이면 한 모금 만 마셔도 이렇게 당신의 정결함으로 채워지는 애태움의 진실을 바라…
푸른  숲,푸른  숲,"하늘은 붉어지며
하늘은 푸르름을 가린다
숲이 있는 곳에
달빛과 숲이 있네요
그렇게 초록색 나뭇잎이 되어 가고 있는데
초록색의 빛남은
바람의 초롱으로 그려내는
고요함의 깊이와 함께
별들의 아침에서
아침이면 달콤함을 읽어내고 있어요
천년의 고독을 가지고 있다
생각해보면 그리움은 한숨도 안 나는데
푸른 숲이 있으면
하얀 나뭇잎들이 반짝이는
노란색으로 채워진
가을에 가을로 오니
꽃들의 마음은
그리움",0.8793900012969971,0.8712185025215149,0.12060999870300293,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
별빛 노래,별빛 노래,"바람도 타고
소낙비처럼 쏟아지는 구름도
눈부신 빛줄기며
그들의 마음속에 스며드는
바람의 시냇물처럼
아름다움의 눈물이
가을이 되면
꿈에 비치는 것 같네요.
겨울을 보내던 그 시간들
그리움도 그리움이 되어
하나뿐인 사랑으로 피어날 날이 올듯해요
달빛의 향기를 맡으며
나의 꿈은 쉼 없이 흘러가는거야
오늘따라 추워 보이는 그대들에게
나는
오직 나의 꿈을 위해서만
힘든 길을 걸어가겠습니다.",0.874267578125,0.8659795522689819,0.125732421875,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
겨울 하늘,겨울 하늘,"내 눈에 비친 날들의 그림자
그대들이여, 나의 눈빛은 이미 어둠에 잠긴 듯
어둠의 그늘 속에
소낙비처럼 서있는 그대들 
꿈과 현실, 그리고 사랑은
봄을 알리는 빛으로 가득한 꿈속일세.
하늘 아래 별들은 저마다 하나같이
천지를 휘감고
지푸라기라도 잡는 심정으로
그리운 그 날을 위해
이웃나라로 떠나는 길
가슴 깊이 묻어둔 그리움으로
그대의 마음 깊숙한 곳에
가을의 기다림을 심어두고 있는 것 같다. (눈물로 지은 이름)
겨울",0.8720093965530396,0.8615571856498718,0.12799060344696045,도라지 꽃,휘어진 길모퉁이마다 그리움이 서려 희미한 달빛 아래 홀로 선 그대 모습 사랑의 흔적을 따라 나는 조용히 눈을 감네. 바람에 실려 오는 보랏빛 향기 그대와의 추억이 가슴에 머물러 눈물에 젖은 밤하늘을 바라보며 사랑은 …
다시 곁에,다시 곁에,"내 가슴에 안긴 그 사랑도
다시 만날 수 있을지 모르겠지만
어두운 계절이 지나고 나면
그때도 그리움으로 가득 찬 그대 앞에선
아름다운 나의 모습을 마음속에 그려보는 시간
눈물처럼 흐른다
사랑이란 이름으로 맺어지는 것들에
나의 아픔은 묻어나고
감히 눈물이라도 흘리지 않을 때면
지금 이 순간에 있는
순간까지도 함께 할 때면
내 안의 아름다운 모습이 그리워진다 하였는데,
다시 내게로 향하는 마음은
가슴에 묻고 싶네요
내가 사랑한 사람은 누구일지요""
이제",0.8716846108436584,0.8489055633544922,0.12831538915634155,사랑의 시간,하지만 너는 아무 말 없이 다른 길을 택했고 내 노래는 슬픔의 멜로디로 바뀌었다. 사랑스러운 눈빛은 이제 그리움으로 빛나고 너의 미소만 내 마음 속에 깊이 새겨졌다. 아무 말 없이 떠나간 너를 떠올릴 때마다 너는 내…
아름다운 꿈,아름다운 꿈,"바람 속에 사는 작은 별들이 있으리라.
별들 사이에 있는 큰 강물처럼
눈부신 빛을 머금고 있는 꽃망울이 되어도
아름다움이 깃든 그 순수의 빛에
그렇게 빛나는 별들이여.
세상 한가운데서 사랑을 노래하는 별이 되어보자.
한 번만 더 사랑한다면
사랑하는 이 세상을 아름답게 만들어줄 너희들의 소중한 손길에서
끝없이 흘러가는 사랑의 불꽃으로!
어둠 속에서 빛이 나는 세상엔
바람과 함께 숨쉬는 꽃이 피어날 거야
하늘도 푸르니 그리운 마음을 품을",0.8685251474380493,0.8619548678398132,0.13147485256195068,소리의 성벽,달빛만 비쳐도 반딧불을 보내 연초록의 시간을 실어오고 나비들의 아침이 되어 바라보는 마음의 속삭임들이 들려주는 산책 같은 그리움의 기다림 속에 보이는 그 아름다움의 세계는 밤과 낮이 없고 오직 봄이라는 숲이 있어. …
다시 이슬,다시 이슬,"저렇게 고운 꽃잎을 피운다
다시 그 향기로 가득한 날엔
고백하는 마음도 느리지만
저 깊은 밤
바람이 불어도 내 마음은
흐린 구름처럼 푸르다.
그래서 나는
내일이라도 이 세상에 태어나지 않을 수 없다.
세상 모든 것을 다 가진 것 같은
아름다움을 꿈꾸며
그대를 사랑하고
사랑한 그대에게 나의 힘이 되어줄게
우리 모두 함께 해요
우리의 바람은 언제나 흘러갈 뿐이지만
내가 언제까지나 그리워할 수만 있다면
우리를 사랑해야겠다. 지난주에는",0.868107259273529,0.856346607208252,0.13189274072647095,해바라기 연가,오직 당신 있는 곳만 향합니다. 그리움 때문에 나는 당신을 향해 서 있습니다. 그대를 바라보아야 힘이 솟고 당신의 빛을 받아야 피어납니다. 한순간도 잊지 못할 그대 얼굴 온종일 그리움에 파묻혀 밤이 와도 여전히 흔들…
슬픈 사랑,슬픈 사랑,"아슬아슬한 기다림 끝에
마음을 담은 눈물 한 방울
고운 마음을 담고 있는
그리움의 첫걸음이라 할 수 있고
눈물의 시작이라 할 수 있을 만큼
어느덧 그윽하고 깊은 향기로움 속에
가슴을 적시는 마음
그 외로움이 오롯이 저렇게 흘러가는 곳엔
사랑하는 마음이 서려 있습니다.
그래서 아름다운 날에요
그리움을 위한 사랑은
나만의 시간을 필요로 하지 않습니다.
꿈과 희망은 늘 함께 합니다.
그러므로 아름다운 날, 아름다운 날이 될 것입니다.
우리의 소중한 시간은
따뜻함과 고요
함으로 가득 차",0.8671308755874634,0.8579961657524109,0.13286912441253662,함께한 세월,"청춘의 봄날, 당신을 만나 행복이라는 꿈을 향해 차가운 세파, 인생 고개를 함께 넘어서 흘러온 세월 돌아보면 삶의 꽃을 피우던 지난날들 사랑으로 함께 했기에 고난도 기쁨으로 승화시키었었다. 벅찬 시련이 밀려오면 서로…"
아침 햇살,아침 햇살,"뜨거워질 무렵
한낮의 열기가 한겨울에 찬란했던 시절이 있었으니
아침햇살에 따듯함이 가득한 곳이면
찬란한 햇빛 아래
나뭇잎들이 빛나고 있는 날엔
눈부신 눈송이처럼
서당집 처마에서 떨어지는
어디선가 날아와서
그대를 부르고 있습니다
저 멀리 저물녘에는
오랜만에 아침을 맞이하는 기분입니다
그리운 그대가
꿈을 꾸었기에..
누구나 사랑할 수 있지 않을까요 
저녁 햇살이 쏟아지는 오늘",0.8644103407859802,0.8365852236747742,0.13558965921401978,가을이 오기전 별빛의 종소리에 초대받아 은색 울림과,당신의 식탁에 따듯한 차 한 잔 찬바람에 놀란 노래들을 달래주고 이제 별들이 보여주는 책을 읽어야 할 시간이면 당신의 꿈속 변하지 않는 초록색을 찾아와 동화의 끈을 묶어봅니다 이제 신비롭게도 마음의 골목길은 찾아오고…
이런 눈물,이런 눈물,"마음속에는 또 어떤 사랑이 있는 것일까
이런 눈물이 어디서 나는 것일까?
그렇게 아픈 가슴을 가진 그대여!
그러니까 내 안의 울림은 바로 나 자신의 사랑일 터인데.
언제부터인가 나를 이렇게 그리워하는지 궁금해서
나의 마음을 들여다보는 듯하네요
저절로 흐느끼는 듯한 아픔의 그 순간
눈물은 그저 나의 눈물일까?
그래, 넌 누구보다 나에게 사랑을 할 수 있을 거라고 생각하는데요.
그리움이란 무엇인가
나를 사랑하는 마음이여. 오늘은 비가 내리던 아침이었어요.
오늘 비도 내리고 있지만 그래도 아",0.8641370534896851,0.821215808391571,0.13586294651031494,사랑의 시간,하지만 너는 아무 말 없이 다른 길을 택했고 내 노래는 슬픔의 멜로디로 바뀌었다. 사랑스러운 눈빛은 이제 그리움으로 빛나고 너의 미소만 내 마음 속에 깊이 새겨졌다. 아무 말 없이 떠나간 너를 떠올릴 때마다 너는 내…
가을 노래,가을 노래,"그리움의 미로 속에
오래된 기억의 늪에 잠겨 있습니다
아직 봄 같지 않은 그립다
가을을 부르는 소리
그리움이라는 이름으로 말했나 보네요
그런데
한낮, 바람도 없고 겨울바람도
가득 찬 바람을 타고 떠나갔으니
이름 없는 쓸쓸함이 어찌 아름답겠는가.
하늘 아래 단 한 번도 오르지 못한 슬픈 마음을 안고 가는
푸른 눈망울을 품고 온 그대여!
내 안에 있는 별들이여, 나의 가을 노래를 사랑하리니
가슴벅찬 바람이 되어 내 가슴을 틔우시리라",0.8615126609802246,0.8577401041984558,0.1384873390197754,고운 아침이 되어 그리움의 담장을 만들고,한달음에 달려오는 노래의 감동이 있는 그런 날은 마음이 있어도 다시 외로워지지 않도록 성급한 바람이 불어오는 그곳이 있어. 다시 불태운 스스로 기다림을 꽃의 시간 속에 넣어 별빛의 하얀 마음을 고움으로 덧대어봅니다 …
혼자 이대로,혼자 이대로,"그대의 사랑스러움도
이젠 내 마음에
그리고 또 하나의 꿈인
다시 돌아오지 않는 그대에게
나의 사랑은
그대 마음 깊숙한 곳에 숨어있다
오직 그대만이 갈 수 있는 길이요
마음 깊은 곳까지 오롯이 품에 안고 싶어하는
순수의 순간,
눈물이 넘쳐나는 그 순간에도
사랑하고 싶지만
잊을 수 없는 아름다운
그리움이 있을까 하는 생각들 
여전히 나를 기다려 온 나의 마음은
혼자 여기 누워 있다
더 이상 나 자신을 위해서
함께 할 수는 없겠지요
그래서 오늘",0.8595244884490967,0.8294031023979187,0.14047551155090332,사랑의 시간,하지만 너는 아무 말 없이 다른 길을 택했고 내 노래는 슬픔의 멜로디로 바뀌었다. 사랑스러운 눈빛은 이제 그리움으로 빛나고 너의 미소만 내 마음 속에 깊이 새겨졌다. 아무 말 없이 떠나간 너를 떠올릴 때마다 너는 내…
