prompt,gen_title,gen_body,sim_top1,sim_top5_mean,novelty,nn_title,nn_excerpt
아름다운 바다,아름다운 바다,"고요하고
그대의 품에 안겨서
그리움으로 쉼 없이 걸어가고 있는
강물은 그대를 사랑한다
마음 속 깊은 곳에 스며드는
그대 마음속에 흐르는 강물의 시간
순수한 인생은
지워지지 않는다
아름다운 계절이 되면
바람은 불어오고
산자락에 흩어진 꽃들의 노래를
사랑하는 너의 노래들이 들려준다
누구나 알 수 있는 아름다움이란
단 한 가지도 없다.
살며시 흘러가는
하얀 가을하늘과 같은 것
그리고 빛바랜 하얀 눈송이처럼",0.899483323097229,0.8806402087211609,0.100516676902771,고요함의 달빛 존재 천년의 성을 지나 바람처럼 달려오고 있는,당신의 봄을 닮은 꽃잎들이 생각이라면 이내 꽃이 피는 갯벌과 언덕에 아카시아 편지가 보내온 하얀 마음을 읽어볼 수 있는 산들바람 당신의 강물위에 마음을 다시 써내려 갑니다. 물결처럼 흘러 그리움의 하늘 호수가 보이면…
햇살 파도,햇살 파도,"눈 내리는 겨울
겨울이 온다
나도 모르게 잠들어버리곤 했어요
하늘을 향해 뻗은 하얀 꽃잎들
그리움으로 휘날리며
그렇게 반짝이는 꽃잎은
아직도 내 발에 남아있었지요
언제든 마음껏 웃으며 살아갈 수 있게 해주는
한 방울의 봄바람이었죠
햇살 바람 속에서
사랑하는 사람들의 아름다운 노래
고요한 날들은
우리 모두에게 찾아왔어요.
새벽빛 들녘에서 새어나온 꽃 향기
꿈틀거리는 연둣빛 빛줄기 위로 흘러가는 고운 물결.
눈부신 햇볕 아래",0.8976714015007019,0.8744813203811646,0.1023285984992981,메밀꽃,향기로운 바람이 지나가면 지난날의 그리움 새록새록 피어나네. 아주 긴 시간이 흘렀어도 여전히 선명한 그리움 그리운 사람 미소 닮은 고운 꽃잎 하나하나가 반짝이고 밤하늘 별빛처럼 빛나며 고요한 마음에 은은히 파고드네.…
푸른 숲,푸른 숲,"꽃으로 피어나는 새싹들의 사랑
그대의 입술이 되어주면 고요함으로 다가와도
그대는 언제나 꿈꾸며 아름답게 웃고
봄이 오면 활짝 핀 하늘빛 향기
꽃잎들은 봄의 마음 가득히 들어주며
가을을 기다려주는 향기로운 가을비 오는 날에는
살구꽃의 기다림 속에
바람과 함께 사라져가는
푸른 잎사귀들
세상의 아름다움을 노래해 주고 있는
산뜻한 햇살의 아름다움
풀잎을 품에 안은 단풍잎들이
나비처럼 날아다니는 계절로 접어듭니다.
아름다움과 부드러움,",0.8893868923187256,0.8871539831161499,0.11061310768127441,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
별빛 하늘,별빛 하늘,"밤하늘에 비친 빛
별들이 쏟아내린다
그저 눈보라가 치는 곳
눈부신 햇살 아래서
푸른 하늘이 보였다
작은 별을 따스하게 비추었다
달빛이 내리는 날엔 별들의 눈이 내리고
한 방울의 눈물도 흘릴 수 있었다
꽃잎처럼 흩어진 별들
별들의 피어나는 향기
이제 내 마음은 다시 별이 되어가고 있네.
봄과 여름을 함께하는 그대에게
아름다운 추억을 선물해다오
별의 한 구절은 우리를 감동으로 환생시키리라
마음이 더 아름다워질 거야.",0.8802836537361145,0.8545194864273071,0.1197163462638855,별빛의 마음에 다시 서면 아름다움의 본체는,당신의 하늘이 있으면 언제나 푸른 꿈은 별들이 날아옴을 다시 허락합니다. 마음의 언덕 느림처럼 날아와 그리움은 빛남이 되어도 누구에게나 나누어 줄 수 있는 따듯함과 정겨움 때로는 풀잎들의 기다림이 되어 따로 겉옷을 …
아름다운 오늘,아름다운 오늘,"오월의 햇살 속에
어느 날 새벽 꿈에 그리움이 깃든다
오월의 꽃으로 피어날 때면
그저 봄의 기다림만이 남아도
시냇물에 젖지 않도록
바람이 불어오는 대로 곱게 피어나는
꽃들이여
가을에 피는 하얀 구름들의 마음에서
그리움을 품다보면
아름답게 웃고 떠들며 지나가고 싶을 때가 있다.
세상에, 세상에. 이 세상의 가장 아름다웠던 날에
사랑하고 축하하며 살아가기엔
아름다운 날이 너무나도 멀다.
만약 이 세상 사람들이 나를 사랑한다면
내",0.876251220703125,0.8683443069458008,0.123748779296875,아름다운 동행,가슴 나누며 살아가는 인생 봄바람이 빙그레 웃으니 화려하게 피어난 봄꽃은 모두 떠나고 환희 속에 피어난 계절의 여왕 여왕답게 빨갛게 물들인다 향기로운 봄 향기 품으며 삶의 응원 받던 달콤한 인생길에서 그대와 같이 등…
 노을 바다,노을 바다,"어둠이 짙어지면
노을은 깊어지며
고요함을 느끼며
아직 눈도 적시지 않은 곳엔
바람의 바람이 불어오는데
그곳에도 봄꽃이 피어난다.
봄이면 푸른 잎들의 향연이 펼쳐지고
봄에는 하얀 꽃잎들이 활짝 피어오르면
천년의 추억에 잠긴다.
노래의 첫인상은 그 순간순간을 놓치지 않고 기억하며 살아간다. 하지만
그게 전부일까?
눈만 뜨면 알 수 없는 것을
미친 듯이 웃는다.
가을빛에 들뜬 마음은
그리움으로 인해
진실을",0.8748934864997864,0.8684266209602356,0.12510651350021362,메밀꽃,향기로운 바람이 지나가면 지난날의 그리움 새록새록 피어나네. 아주 긴 시간이 흘렀어도 여전히 선명한 그리움 그리운 사람 미소 닮은 고운 꽃잎 하나하나가 반짝이고 밤하늘 별빛처럼 빛나며 고요한 마음에 은은히 파고드네.…
산 속에,산 속에,"꽃 한 송이만 서서
소원대로 피어나는 듯싶어
너를 기다리던 나의 마음은
고요함 속으로 사라지기 전에
나도 모르게 그리움으로 변해갈 때
그것이 내 마음이라면
나의 사랑은 더욱 깊어질 것이다.""
한동안 잊혔지만
다시 피는 너의 눈물이여..
나는 다시 만나리라
세상 어디에서도, 만날 수 없는
내 안의 아름다움을
그리움과 함께 지켜보며
이미 떠나버린 우리들의 사랑을
가끔씩 불러모으고 싶다
아직도 나는 그대를 사랑하고 있다....",0.8739845752716064,0.8540111780166626,0.12601542472839355,사랑의 시간,하지만 너는 아무 말 없이 다른 길을 택했고 내 노래는 슬픔의 멜로디로 바뀌었다. 사랑스러운 눈빛은 이제 그리움으로 빛나고 너의 미소만 내 마음 속에 깊이 새겨졌다. 아무 말 없이 떠나간 너를 떠올릴 때마다 너는 내…
함께 그대,함께 그대,"사랑스러움의 시작이여!
사랑으로 물들일 수 있는
내 안의 모든 것들이 다 아름다운 추억들입니다
그대의 이름을 부르는 그 노래
당신의 이름을 알리면
아름다움도 더 아름다워질 것이고요
그리운 마음 하나로 살맛 나는
고요하고 밝은 밤하늘을 아름답게 비추며
서로를 위로해 주고
무심결에 그리움을 품어줄 때
그리고 다시 떠나갈 그날까지
함께할 것을 약속합니다 
세상에, 이별은 없다
그러나 외로움과 고독 그리고 사랑은 멀리 떨어져 있지 않습니다
사랑과",0.8733397722244263,0.8642380833625793,0.12666022777557373,행복 이야기,내일은 더 아름다운 삶을 열며 가슴에 들려오는 당신의 사랑의 숨결을 들으며 진실한 삶을 열어간다 내일을 향한 기대감으로 가슴에 뜨겁게 불타던 사랑으로 임을 바라보며 행복을 꿈꾸며 세월에서 얻은 아픔은 모두 소멸된 가…
지금 시간,지금 시간,"봄의 서러움이 그립다
달빛은 시린 잎들이 다 되어가는
아침에 이슬비처럼 피어난다.
수많은 꽃들이 향기롭게 피어오르니까.
한 송이 꽃잎을 타고
그윽하게 흐르는 강물엔
바람이 불고 있고
꽃잎들은 저마다 제 모습을 드러낸다.
우리도 언제쯤 아름다운 모습으로 변해 있을까
눈부신 햇살 속에선
어쩌면 한 순간이라도 내 곁에 있는 그대 모습 같았으면 좋겠다. 《라스트 마스터》는 스칼렛 요한슨의 영화로, 라스트 마스터가 아오",0.8728007078170776,0.8693313598632812,0.12719929218292236,이렇게 이슬비 언덕에도,나무들의 고요함 느낌을 서로의 이슬비를 꺼내 아지랑이처럼 모락모락 피어나고 애태움의 그림들이 마음속에 가지고 있는 오랜 기다림을 분홍빛 색연필이 싱그럽게 그려내는 별과 바람이 되어 꽃들의 창가에 고운 새들처럼 속삭이…
다시 이슬,다시 이슬,"하니 올라오는 것 같다.
바람도 잠잠하지만
그대는 내 얼굴을 바라보았다.
햇살 속에 스며들어 있는 그리움이다.
수없이 흘러온 그리움이 그대에게
가볍게 웃으며 다가왔다.
이슬비 아래 누워있던 빗방울들이 이리저리 흔들린다.
내 눈 앞에 펼쳐진 별들 사이에 비친
그리움의 빛깔을 보며
순간 내 마음이 요동친다.
나만의 생각에서 벗어나서
고요함을 찾아내는 일.
하늘은 맑고 바람은 따스하다.
무언가를 외치고 싶은 듯
다시 한번 다짐하는 시간.
아름답지만 한없는",0.8659102916717529,0.8416132926940918,0.13408970832824707,겨울 비,"눈 섞인 빗방울이 내 마음을 두드리고, 그 소리에 나는 먼 옛날을 떠올린다. 하얗게 눈물 흘리며 걷던 내 작은 발걸음이 생각난다. 그때 그곳의 겨울은 별처럼 신비한 곳에 있는 듯했고, 하나의 하늘 아래 우리는 서로를…"
