제목,가사
농담처럼,"너와 나란히 걷다가
갑자기 가슴이 시려
팔짱을 꼈어
좋은 사람이라는 말
그 말을 들은 날
하루 종일 우울했어
우리 둘은 친구 같아서
잔잔해서
아무 일 없을 거라고
얘기하던 너에게
말할까
좋아하고 있다고
더는 늦지 않게
말해볼까
지나가는 말처럼
재미없는 농담처럼
아무 생각도 안 했다며
태연하게
딴 곳만 보고 있는
내 모습이 우스워
말할까
오래 기다렸다고
강아지처럼 착하게
말해볼까
지나가는 말처럼
재미없는 농담처럼
네가 불러줬던 내 이름이
처음으로 예쁘게 들린 그날부터
사랑이라는 걸 알게 되었을 땐
이미 늦었을 테니까
말할걸
후회한다고 해도
더는 늦지 않게
말해볼걸
사랑하고 있다고
농담처럼"
설렘주의,"툭 던진 너의 한마디  
내가 너무 귀엽대 기다렸던 말 
그말 그말 사실 나도 니가 너무 멋져  
멋져 보이겠지  
힙합은 그런 것 빼면 시체야  
난 도도한 너를  
다룰 수 있는 인재야 
너란 그림이 기댈 수 있는 나는  
이젤 이제 붓을 들었으니  
설렘을 주의해 
너의 아는 오빠들  
가장 친한 친구도 너에게  
손을 못대게 나는 눈에 꽉 힘주고 
니가 내손을 잡을때는  
난 우주로 가 별을 따올테니 
기다려 이곳에 딱 
밤 하늘의 별도 따다 주고 싶어 
저 바다를 보며 얘기하고 싶어 
Always Always  
내 곁에 있어줘 지금도 설레이니까 
우리 사랑 설렘주의  
오글 오글주의  
느낌 아니까 Tonight 
우리 사랑 설렘주의  
오글 오글주의  
사랑해 사랑해 널 사랑해 
너의 긴 다리 위에서  
축구하고 싶어  
땀이 날땐  
너의 눈 안에 수영하고 싶어 
사랑한다 하기 보단  
장난치고 싶고 너가 삐질때는  
그 모습이 너무 귀여워 
풀어주기 보다는 꽉 안아줄게  
별은 너무 간소하고 밤하늘 줄께 
우울할땐 들어와  
너의 전용 놀이터  
아빠미소 지을때는 
안아달라 소리쳐
밤 하늘의 별도 따다 주고 싶어
저 바다를 보며 얘기하고 싶어
Always Always 
내곁에 있어줘 지금도 설레이니까
나 원래 이런 노래안해 
내맘대로 사는데 너 앞에 있을땐 
규칙대로 움직여 타협해
험한 말을 할때는 
얼버무려 발음해 
내 모든걸
다 바쳐도 난 아깝지 않네
이게 내 진심이고 장난은 안쳐
널 감동시킬 이벤트
mood 있게 만져
쓰다듬고 칭찬해줘 
아주 미쳐버리게 우리 사랑 
설렘주의 경보가 울리네
오 달달한 사랑 느낌 
내맘도 너와 같아 
내 진심을 알아줘서 고마워
시원한 바람이 우릴 감싸면
더 바랄것도 없어 
더 바랄게 없어 고마워
밤 하늘의 별도
따다주고 싶어 
저 바다를 보며 얘기하고 싶어
Always Always 
내곁에 있어줘 지금도 설레이니까
우리 사랑 설렘주의 오글 
오글주의 느낌 아니까
Tonight
우리 사랑 설렘주의 오글 
오글주의 사랑해 사랑해
널 사랑해"
술자리,"I'll be fine 걱정마
웃는 내가 보이잖아
아침이 밝기 전 마시자
눈물을 섭취해
상처는 전부 씻겨가겠지
I'll be fine 괜찮아 걱정마
거짓말이 아니야 괜찮단 말이야
웃음꽃에 물을 왕창 줬단 말이야
일을 정리하면서
감정이란 것을 버렸어
신경이란 것을 쓰기 싫단 말이야
계속 그런 표정 지을 거면 말이야
30분만 더 있다가 일어나자
I'll be fine 걱정마
잘 먹는 내가 보이잖아
공기밥 두 그릇 마시자
얼음판 세상은
국물에 전부 녹여가겠지
I'll be fine 괜찮아 걱정마
거짓말이 아니야 괜찮단 말이야
웃음꽃에 물을 왕창 줬단 말이야
일을 정리하면서
감정이란 것을 버렸어
신경이란 것을 쓰기 싫단 말이야
계속 그런 표정 지을 거면 말이야
30분만 더 있다가 일어나자"
우결,"그냥 자고 싶어
니 연락 씹고
과자나 까먹고
그냥 누워 있었지
난 살고 싶어서 널 사랑했고
이젠 귀찮아서 그냥 누워 있었지
hate me 더 이상
나는 못 참을 것 같아서
헤어지자는 말을 못해서
문자를 몇 번이나 썼다 지웠어
hate me 니가 먼저
말을 꺼내 주길 바래 난
사실은 나쁜 사람 되기 싫어서
나쁘게 말하는 거야
우린 결혼까진 무리야
너도 예상했겠지만
끌까 말까 고민 중인 불
끌 때마저 골치 뿐인 불
우린 결혼까진 무리야
너도 예상했겠지만
끌까 말까 고민 중인 불
끌 때마저 골치 뿐인 불
나도 살고 싶어
니 연락 씹고
슬픈 영화나 보며
그냥 누워 있었지
잠에 들고 싶어
화장을 지웠어
비누가 다 떨어져서
난 울고 있었지
hate you 니가 뭔데
내게 이래라저래라 해
헤어지자는 말을 못해서
문자를 몇 번이나 썼다 지웠어
hate me 그냥 hate me
차라리 내가 싫다고 해
나쁜 놈으로 만들고 싶어서
나쁘게 말하는 거야
우린 결혼까진 무리야
너도 예상했겠지만
끌까 말까 고민 중인 불
끌 때마저 골치 뿐인 불
우린 결혼까진 무리야
너도 예상했겠지만
끌까 말까 고민 중인 불
끌 때마저 골치 뿐인 불
끝을 볼 수 없는 우리
끌까 말까 고민 중인 불
어떤 짓을 해도 무리
끌 때마저 골치 뿐인 불
우린 연기를 잘해서
숨이 막히나 봐
이별 앞에서 누가
더 말 심한가
차라리 욕을 해줘
내가 싫다고 해줘
우린 결혼까진 무리야
너도 예상했겠지만
끌까 말까 고민 중인 불
끌 때마저 골치 뿐인 불
우린 결혼까진 무리야
너도 예상했겠지만
끌까 말까 고민 중인 불
끌 때마저 골치 뿐인 불
우린 결혼까진 무리야
우린 결혼까진 무리야"
그 정도 쯤이야,"난 여전해 난 여전히
밥도 잘 먹고 아주 잘 살어
살도 많이 쪄서 
음식을 가려 먹어야 해
그게 난 제일 고통이야
괜찮아 너 정도 쯤이야 
넌 여전하니 우에오
혹시 슬퍼서 울지는 않니
에에에
니 얘길 누굴 통해 들어
기분이 조금 상할뿐야
그건 정말 아무것도 아냐
괜찮아 너 정도 쯤이야 
너 정도 쯤은 
아무 것도 아냐
오히려 내가 미안하지 
재밌는게 많아
시간이 너무남을 때는 
만화책 보며 놀면 돼
잔소리는 이제 
우리 엄마로도 충분해
비가 오고 눈이 오고 
해가 쨍쨍
계절이 몇 번 바뀌어도 
아직 내가 대세
너가 낄자리는 없어 
스케줄이 뺵뺵해
그냥 기분이 상할뿐야 
난 여전해
날 위로하지마 
나 정말 괜찮아
그런 표정하지마 
나 원래 이래
그냥 투덜대고 싶어서
나답지 않게 굴고 싶어서
그냥 조금 아플뿐야
괜찮아 너 정도 쯤이야
정말 멋있네 니 옆에 남자애
나를 닮아서 아주 잘 맞어
어떻게 그렇게
웃고 다닐 수 있는 지
나의 멍청함으론 상상도 못해
사실은 부러워 
그 놈이 있는 곳 너의 집
더 이상 할 수 있는 
거짓말도 난 없네 
자꾸 그 남자에 나를 
대입해서 상상해
날 위로하지마 
나 정말 괜찮아
그런 표정하지마 
나 원래 이래
그냥 투덜대고 싶어서
나답지 않게 굴고 싶어서
그냥 조금 아플뿐야
괜찮아 너 정도 쯤이야
해야할게 많은것만 같지만
뭐를 해야할지 모르겠어
뭐를 해야할지 모르겠어
난 아직도 어른인가봐
뭐를 해야할지 모르겠어
뭐를 해야할지 모르겠어
해야할게 많은것만 같지만
뭐를 해야할지 모르겠어
뭐를 해야할지 모르겠어
난 아직도 어른인가봐
뭐를 해야할지 모르겠어
뭐를 해야할지 모르겠어"
소란했던 시절에,"넌 기억하고 있는지
모두 잊은 듯 지내는지
비 내리는 그 날이면
널 떠올리곤 해
널 떠올려봐
너무 사소했던 것들까지
소란했던 일들 덕에
지금 허무하지
너무 커버린 추억은
이별에 담을 수가 없어
내 머릿속은 비어버려
멍청해져 버렸어
이 뻔하디 뻔한 상황
울고 불고 난리 쳐
제발 전화 좀 받아
난 끝까지 시끄러웠지
넌 끝까지 시끄러웠지
지나온 우리 날들이
조금씩 사라져 가도
되돌릴 수가 없는 걸
너무 잘 알고 있기에
단 한 순간의 기억도
다 버릴 수가 없어서
기억 속에서 여전히
헤매이고 있는 나
한참을 생각해 봤어
우리의 날들을
소음들에게 맞서던
우리의 지난 날들을
세상에 너의 그런 소리를
난 들은 적이 없는데
나는 무서워
귀를 막아 버렸지
어디서든 잘 살고
아무쪼록 몸 조심해
난 괜찮아 지금
이 소린 꽤 조신해
퍼즐 같은 우리
추억은 조각이 났지
넌 그걸 들고 대체
어디서 또 뭐를 하니
모든걸 틀어막고
정적뿐인 이 방에서
청승맞게 이상한
감정을 이입 하고 있어
거긴 어떤
소리들로 가득 차있니
나만 빠진 너의 삶은
어디까지 가있니
너는 갈 때까지 갔고
돌아갈 순 없어
넌 나만 놓고 갔고
난 너만큼이 없어
모든걸 잃고서
기억들로만 살아 숨쉬네
흩어져버린 추억과
조각나 버린 마음이
뒤늦게 너를 데려와
마치 손에 닿을 만큼
후회로 물든 순간도
다 버릴 수가 없어서
기억 속에서 여전히
헤매이고 있는 나
그 소란했던 시절에
그대라는 이름"
찰칵,"잡아줘 내가 무너지기 전에 
안아줘 내가 울기 직전에 
잡아줘 내가 떨어지기 전에 
살아줘 나와 같이 살아줘 
차라리 밟아줘 너의 발이라도 닿게 
그냥 그거 먹고 떨어져 줄게 
아니면 당겨줘 너의 손이 좀 편하게 
나를 고통 없이 편하게 보내줘 
찰칵 
Smile wait for the flash
Smile 웃어 예쁘게
방아쇠를 당기면 하나였던
우린 둘이 될 거야
마지막으로 손이나 잡고 있을까
어때
반짝이는 순간 우린 남남이니까
반짝이는 사랑은 순간 반짝인 거야
너를 놓아 주니 너는 더 반짝이구나
왜 우린 남남일 때가 더 소중할까
나는 또 망가져 너의 동정이나 받게
그냥 그거 먹고 떨어져 줄게
차라리 사라져 잠이나 잘래 편하게
나를 고통 없이 편하게 보내줘
찰칵
Smile wait for the flash
Smile 웃어 예쁘게
방아쇠를 당기면 하나였던
우린 둘이 될 거야
마지막으로 손이나 잡고 있을까
어때"
2000/90,"2000에 90
내 텅빈 방 안 문을 열 때
꿈에서 깨지 나는
여태까지 꿈을 꿨네
투덜대던 니 모습이
자꾸 아른거려
땀으로 샤워할 정도로
더러운 방을 치웠네
너가 멋있어
이렇게 멋진 날
차버린 너가 멋있어 멋있어
난 루저처럼 구석에 누워
니 사진을 봤다
핸드폰이 뚫어질 것 같아
보증서를 찾아
손님이 올 것같이 깨끗한 내 방
혹시 몰라 청소기를 또 대봐
뻔한 노래 가사처럼 니 사진은
아무리 찾아도
어디도 없어 나 사실은
혼자인게 무서워서
여기저기 친구들 다 불러서
힙합 뮤비처럼 앉아 있어
힙합 뮤비처럼 앉아 있어
언젠간 벗어난다고 별짓을 다
해도 익숙한 이곳 이제 떠나
떡을 돌릴래
떡을 돌릴게
돈도 벌었고 떠날 때가 왔어
장농 밑에서 주운 만원으로
밥을 먹을게
밥이나 먹을게
2000에 90
내 텅빈 방 안 문을 열 때
꿈에서 깨지 나는
여태까지 꿈을 꿨네
새로운 만남은
너무 뻔하고 잔인해
나만의 사회 안에서
또 현실을 맞이해
모두 비참 하게 봐 나를
괜찮다고 여자없이 잘 산다고
오히려 더 귀찮아
하늘에서 떨어졌으면 해
이왕이면 너와 꼭 빼닮은 사람이
손님이 올거야 깨끗이 해 내 방 
오늘은 단체로 궁상을 떨거야
흔한 롹 가사 처럼
i don't give a
미쳐서 방안을 어질러
나 사실은
혼자인게 무서워서
여기저기 친구들 다 불러서
롹커 무대처럼 때려 부셔
롹커 무대처럼 때려 부셔
언젠간 벗어난다고 별짓을 다
해도 익숙한 이곳 이제 떠나
떡을 돌릴래
떡을 돌릴게
돈도 벌었고 떠날 때가 왔어
장농 밑에서 주운 만원으로
밥을 먹을게
밥이나 먹을게
난 혼자인게 좋아 
넌 나를 도와줘서 고마워
너무 야한 영화
편하게 보았어 좋았어
아니 잠깐 그게 아니라
제발 나를 도와줘 도와줘
아니 잠깐 그게 아니라
나를 도와줘 도와줘"
청혼,"말할거예요 이제 우리 결혼해요
그럼 늦은 저녁 헤어지며 아쉬워하는 그런 일은 없을거예요
나도 모르게 겁이나요 꼭 붙어줘
같이 처음부터 시작해요 우리의 시간 나는 당신을 믿을께요
그대에게 나 반한 것 같아 말은 안했지만 너무 멋져 보여요
그대에게 나 반한 것 같아 말한 뒤에라도 후회하지 않을께요
두근거려요 마음으로 안아줘요
같이 살아가면서 부딪치고 힘들겠죠 걱정말아요 잘할께요
그대에게 나 반한 것 같아 말은 안했지만 너무 멋져 보여요
그대에게 나 반한 것 같아 말한 뒤에라도 후회하지 않을께요
말할거예요 이제 우리 결혼해요
그럼 늦은 저녁 헤어지며 아쉬워하는 그런일은 없을거예요
그대에게 나 반한 것 같아 말은 안했지만 너무 멋져 보여요
그대에게 나 반한 것 같아 말한 뒤에라도 후회하지 않을께요"
사랑과 우정사이,"머리를 쓸어 올리는
너의 모습
시간은 조금씩
우리를 갈라 놓는데
어디서부턴지
무엇 때문인지
작은 너의 손을
잡기도 난 두려워
어차피 헤어짐을
아는 나에겐
우리의 만남이
짧아도 미련은 없네
누구도 널
대신할 순 없지만
아닌건 아닌걸~ 미련일뿐
멈추고 싶던 순간들
행복한 기억
그 무엇과도
바꿀 수가 없던 너를
이젠 나의 눈물과
바꿔야 하나
숨겨온 너의 진심~을
알게 됐으니
사랑보다 먼
우정보다는 가까운
날 보는
너의 그 마음을
이젠 떠~나리
내 자신보다
이 세상 그 누구보다
널 아끼던 내가
미워지네
멈추고 싶던 순간들
행복한 기억
그 무엇과도
바꿀수가 없던 너를
이젠 나의 눈물과
바꿔야 하나
숨겨온 너의 진심~을
알게 됐으니
연인도 아닌
그렇게 친구도 아닌
어색한 사이가 싫어져
나는 떠~나리
우연보다도 짧았던
우리의 인연
그 안에서
나는 널 떠나리
사랑보다 먼
우정보다 가까운 날
날보는 너의 그 마음을
이젠 떠~나리
내 자신보다
이 세상 그 누구보다
널 아끼던 내가
미워지네
연인도 아닌
그렇게 친구도 아닌
어색한 사이가 싫어져
나는 떠~나리
우연보다도 짧았던
우리의 인연
그 안에서
나는 널 떠나리"
