제목,가사
여름필름,"아직 끝나지 않은 여름
소나기에 젖은 풀처럼 넌 웃고 있구나
열로 시작된 우주에서
오늘의 빛까지
그 파동 한가운데 너와 나
나에게 사랑은
너란 여름이란 걸
노란 봄을 타고 온 푸름의 기억인 걸
구름에 가려진 달은 보이지 않지만 분명히 우릴
밝게 비추고 있구나
비추고 있었구나
다시 돌아온 나의 여름
끝없이 반복되는 음악 속에 널 부른다
열로 시작된 우주에서
오늘의 빛까지
그 파동 한가운데 너와 나
나에게 사랑은 
너란 여름이란 걸
별의 노래로 저 하늘에 펼쳐지는 걸
내 품에 널 안고
언제까지 이대로 놓지 않을 거야
언제까지나
나에게 사랑은
너란 여름이란 걸
바람에 실려와 창에 머문 잔상인 걸
바다를 건너온 햇살 속에 뜨겁게 타오르던 너
나의 여름에게
Forget the Twilight, for Get the Blue"
별을 담은 시,"니가 언젠가 말했잖아
나의 노래엔
마음을 움직이는 힘이 있다고
그날 너의 위로가 날 노래 부르게 했어
정말로 고마워 내게 용기를 줘서
우리 앞의 세계는
저마다의 색으로 기억되고
짧은 입맞춤처럼 너 안에 닿기를
찬란한 색 마음과
흑백 그리움들이 시가 되어
너란 별이 내려와 날 안아줘
내가 바라왔던 세상 위에서
넌 나의 꿈의 언어로
쓰여진 책속에
가장 예쁜 책갈피를 꽂아
영원히 읽어내고 싶은
이야기야
내가 분명히 말했잖아
나의 꿈만큼 빛나는 별을
노래에 담겠다고
그날 너를 향했던 진심은
계절을 버텨내
꽃으로 피어나 너에게 날아가
찬란한 색 마음과
흑백 그리움들이 시가 되어
너란 별이 내려와 날 안아줘
내가 바라왔던 세상 위에서
넌 나의 꿈의 언어로
쓰여진 책속에
가장 예쁜 책갈피를 꽂아
영원히 읽어내고 싶은
이야기야
어떤 날 누군가를 위해 부르는 노래
이 숨결이 날 품은 바람 되어
너에게 닿기를
찬란한 색 마음과
흑백 그리움들이 시가 되어
너란 별이 내려와 날 안아줘
내가 바라왔던 세상 위에서
넌 나의 꿈의 언어로
쓰여진 책속에
가장 예쁜 책갈피를 꽂아
영원히 읽어내고 싶은
이야기야"
Marry Me,"비내리는 날엔
우산이 돼주고
어둠이 오면 빛이 돼줄게
추운 겨울이면
난로가 돼주고
더운 날엔 바람이 될게
잠이 들 때까지 머릴 만져줄게
니가 두려울 때마다 꼭 옆에 
있어줄게
갑작스런 맘에 문득
떠나고 싶으면
내일 무슨 일이 있어도 함께 
떠나줄게
Marry Me
내 손 잡아줄래요
Marry Me
나와 평생 함께 할래요
남은 나의 모든 삶
오직 그대 남자로 살고 싶어요
Marry Me darling
나와 결혼해줄래요
순간뿐이 아냐 많이 생각했어
헌데 내 사랑을 줄 수 있는 여잔 
너밖에 없어
차갑고 어두운 험하고
쓸쓸한 세상 속
평생의 동반자로 함께
걸어가고 싶어
Marry Me
내 손 잡아줄래요
Marry Me
나와 평생 함께 할래요
남은 나의 모든 삶
오직 그대 남자로 살고 싶어요
Marry Me darling
나와 결혼해줄래요
내 안에 숨쉬는 아름 다운 그대
영원히 같은 꿈을 꾼다면 얼마나 
좋을까
믿어요 Marry Me
그대와 함께 하는 매일이
내겐 천국이죠
나와 결혼해줄래요
비내리는 날엔
우산이 돼주고
어둠이 오면 빛이 돼줄게"
청춘의 일렉트로니카,"청춘의 일렉트로니카
I Love You to the moon and back
마지막 열차는 떠났으니까
낭만 속 공허를 헤매자
거리의 등불이
일그러지는 건 아마도
취한 것도 같지만
어둠이 사랑을 가리진 못해
우릴 자유롭게 해
시끄러운 도시가 불편하면
달에 가는 것도 좋아
조용한 우주를 둘만의 숨소리로
가득 채우고 싶어질 테니
언젠가 지금을 추억하며 함께 웃자
낡은 바늘을 댄 LP 속엔
꿈의 바다가 일렁이네 
자정의 마법을 어린 날의 영화로 영원히 남길래
HaLaLaLaLa 너의 웃음이
잿빛 선율을 푸르게 해
그러니까 우린 다른 거야
다르니까 함께 하는 거야
어디든 갈 수 있을 것 같아
바람이 되고 싶어
상실의 도시에 어울리는
Rock&amp;Roll을 들으며
불꽃이 뜨거워 그냥 홧김에라도 
너랑 입 맞추고 싶어질 테니
언젠가 지금을 추억하며 함께 웃자
새벽을 먹고 자란 꿈들이
아름아픈 별을 지날 때
찰나의 은하를 너와 나의 노래로 영원히 남길래
HaLaLaLaLa 너의 웃음이
잿빛 선율을 푸르게 해
ValhallaLaLaLaLaLaLa
지금의 너를 사랑해 줄게
너의 지금을 사랑해 줄게
이 밤의 공기까지
엔딩이 오기 전에 여기 멈춰
타투를 새겨버리자
빛나는 순간이 반짝이고 있다면
그곳이 맞을 거야
언젠가 지금을 추억하며 함께
함께 웃자
어둠이 사랑을 가리진 못해
우릴 자유롭게 해
달에 가버리는 것도 좋아
광활한 우주를 둘만의 숨소리로
가득 채우고 싶어질 테니
언젠가 네가 그리워 눈물 나겠지
I Love You to the moon and back
I Love You to the moon and back"
마음이 말하는 행복,"소란했던 오늘의 하루가
너와 함께 고요해
작은 입술을 열어
우리의 밤을 노래해
넌 내가 본 가장 아름다운 별
날 꿈꾸게 해
널 위해 태어난 꿈의 조각은
어제보다 널 사랑하게 해
그게 얼마나
날 설레게 하고
널 원하게 만드는지
수많은 시간을 지나 네 품에
가만히 안겨 너에게 잠겨
눈을 감아 이 순간을 담아
행복이라고 예쁘게 적어본다
맞닿은 두 볼에 피어난 미소가
서로의 맘을 비추고
넌 내가 본 가장 눈부신 바다
날 숨 쉬게 해
널 위해 태어난 꿈의 조각은
어제보다 널 사랑하게 해
그게 얼마나
날 설레게 하고
널 원하게 만드는지
수많은 시간을 지나 네 품에
가만히 안겨 너에게 잠겨
눈을 감아 이 순간을 담아
행복이라고 예쁘게 적어본다
나의 어린 날들은
너로 기억될 거야
말로는 다 할 수 없는
커다란 이 맘을 모두 줄게
너라는 이유 그 하나만으로
마음이 말하는 세상으로
빛나는 오늘 함께 하는 우리
모든 게 선물인걸
영원할 순간이 지금 내 앞에
둘만의 특별한 여행을 떠나
너를 안아 사랑을 담아
행복이라고 예쁘게 적어본다"
너를 그린 우주,"잠들기 전
눈을 감으면 
떠오르는 이름 하나
깊은 새벽 오랜 생각을 만드네
넌 어쩜 그리 예쁘면서 성격도 좋은지
널 감싸는 빛 나까지도 빛나게 하는지
내가 꿈꿔왔던 
꿈과 드디어 만난 거야
난 밤이 오면 네 생각에 잠이 오지 않아
그래도 설레임에 일찍 눈을 떠
나도 모르게 내 안으로 들어와
날이 갈수록 점점 맘은 깊어지는데
술 마시는 날이면 더 보고 싶고
날씨 좋으면 함께 놀러 가고 싶어
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에
그대 눈 코 입 
그대 목소리
내 길고 긴 하루의 시작과 끝엔
언제나 네가 찾아와
나의 우주는 이미 너에게로
넌 어쩜 그리 웃는 모습이 아름다운지
날 감싼 어둠까지 모두 잊게 만드는지
너 모르길 바랬지만 
이젠 들키고 싶은 걸
난 밤이 오면 네 생각에 잠이 오지 않아
그래도 설레임에 일찍 눈을 떠
나도 모르게 내 안으로 들어와
날이 갈수록 점점 맘은 깊어지는데
술 마시는 날이면 더 보고 싶고
날씨 좋으면 함께 놀러 가고 싶어
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에
난 네게 전화해
가끔 그냥 뭐하냐고 실없이 묻지만
맘은 그게 아닌 걸
사실 머릿속은 하얗고 가슴은 두근거렸어
사랑해 
너의 모든 게 아름다워
잠 못 드는 밤 설레이는 밤
열린 창문 밖으로 날아가 너를 안고 싶어
난 밤이 오면 네 생각에 잠이 오지 않아
그래도 설레임에 일찍 눈을 떠
나도 모르게 내 안으로 들어와
날이 갈수록 점점 맘은 깊어지는데
술 마시는 날이면 더 보고 싶고
날씨 좋으면 함께 놀러 가고 싶어
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에"
비로소 너에게 도착했다,"너
햇살처럼 다가와
나의 그늘에 아늑히 내려앉아
긴 하루와 지친 맘을 안아주면
나 이제야 숨이 쉬어져
너와 함께
느리게 걷고싶다
어스름한 황혼 무렵 멀리를 바라보며
사소한 일상과
은밀한 말들로
둘만의 소중한 이야기를 적어 가겠다
이윽고 여기 왔어
너의 미소 속에 별을 따라
함께 했던 또 함께 할
모든 날을 그리며
오고 가는 계절과
수 많은 스침과 흩어짐을 지나
비로소 너에게 도착했다
처음 내게 왔던
그날의 향기와
너와 울고 웃던 기억
전부 잊지 않겠다
지금껏 그랬듯
앞으로도 계속
난 너만 있다면
이 생에 더 바랄게 없다
이윽고 여기 왔어
너의 미소 속에 별을 따라
함께 했던 또 함께 할
모든 날을 그리며
오고 가는 계절과
수 많은 스침과 흩어짐을 지나
비로소 너에게
너만을 위한
마음의 소리
약속의 꽃으로 피어나기를
하늘을 보면
꽃이 헤엄치는
봄의 꿈과 시로 가득 하기를
영원한 이야기로
바람 좋은 날이면
행복한 노랠 부르곤 했어
긴 겨울 속 너를 위해
이렇게 아름다워
이토록 눈부셨구나
비로소 너에게 도착했다"
날 그만 잊어요,"난 이제 조금씩 그댈 잊어가나 봐요
가끔 웃기도 하는 걸 보니
조금 더 지나면 그댈 만나게 돼도
반가울 것 같아요
난 그런 마음에 그대 내게 남아있는
사진을 한 장씩 뒤적여 보다가
혹시나 그대는 또 나와 달라서
아직까지 혼자만 힘들어 할까 봐
날 그만 잊어요
그댈 보낸 못난 내 기억에
행복하지 못하면 안돼요 그대까지
날 그만 잊어요
난 왜 이제 까맣게 잊은 채
행복하게 잘 지낼 그대가
걱정되죠 아직도
아직도 모두 다 잊지 못한 건 가봐요
그대를 걱정하고 있는 걸 보니
날 버린 기억이 가슴에 남아서 
혹시라도 나처럼 울기만 할까 봐
날 그만 잊어요
그댈 보낸 못난 내 기억에
행복하지 못하면 안돼요 그대까지
날 그만 잊어요
난 왜 이제 까맣게 잊은 채
행복하게 잘 지낼 그대가
걱정되죠 아직도
그 긴 시간 힘이 든 건 
오 나만 
내 맘 그 어디에 그대 남아 있어 
마지막 한번만 날 위한 그대가 
이제는 날 그만 떠나요
(날 잊어줘요 잊어줘요 모두)
그댈 못 내 잊은 채 힘들게
행복해져 보려는 날 위해서 
날 그만 떠나요
그대 이제 내 맘에 이렇게 남은 채로
힘들게 하지 말고 떠나요"
숲의 목소리,"오늘 밤도 나를 찾아온
당신의 숨결을 느껴요
은은한 바람을 불게 해
하루를 위로해줄게요
나 그댈 만질 수는 없지만
그댈 부를 수도 없지만
나무들의 내음 그 속에
내 맘을 실어 보내요
별들에게 부탁해요
내 그대가 어둠을 무서워해요
더 밝게 빛나 그대 밤을 비춰 주기를
울지 말아요
슬퍼하지 말아요
세상이 그대의 순수한 맘을
아프게 할지라도
그대 미소가
이 밤에 젖어들면
저 달빛보다 더 찬란하게
빛나는 걸 아시나요
오늘 밤도 나를 찾아온
그대 이야기를 들어요
드러낼 수 없는 내 존재를
믿어줘서 고마워요
함께 걷고 싶은 계절에
내가 함께 할 순 없지만
이렇게라도 나 그대를
볼 수 있어 감사해요
별들에게 부탁해요
내 그대가 세상을 두려워해요
그대 하루에 축복을 내려 주기를
울지 말아요
슬퍼하지 말아요
세상이 그대의 순수한 맘을
아프게 할지라도
그대 미소가
이 밤에 젖어들면
저 달빛보다 더 찬란하게
빛나는 걸 아시나요"
Marry Me,"비 내리는 날엔
우산이 돼주고
어둠이 오면 빛이 돼줄게
추운 겨울이면
난로가 돼주고
더운 날엔 바람이 될게
잠이 들 때까지 머릴 만져줄게
니가 두려울 때마다 꼭 옆에
있어줄게
갑작스러운 맘에 문득
떠나고 싶으면
내일 무슨 일이 있어도 함께
떠나줄게
Marry Me
내 손잡아 줄래요
Marry Me
나와 평생 함께 할래요
남은 나의 모든 삶
오직 그대 남자로 살고 싶어요
Marry Me darling
나와 결혼해 줄래요
순간뿐이 아냐 많이 생각했어
그래 내 사랑을 줄 수 있는 여잔
너밖에 없어
차갑고 어두운 험하고
쓸쓸한 세상 속
평생의 동반자로 함께
걸어가고 싶어
Marry Me
내 손잡아 줄래요
Marry Me
나와 평생 함께 할래요
남은 나의 모든 삶
오직 그대 남자로 살고 싶어요
Marry Me darling
나와 결혼해 줄래요
내 안에 숨 쉬는 아름다운 그대
영원히 같은 꿈을 꾼다면
얼마나 좋을까
믿어요 Marry Me
그대와 함께 하는 매일이
내겐 천국이죠
나와 결혼해 줄래요
결혼해 줄래요"
